case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_02,single_expiry,0.01,seed_29/repaired,refined,10,5,0,0,0,5.2520272801644296e-05,0.0013857121931654,0.637631890275476,2.028260041737751,False,False,0.3153559999991557,8.437694987151191e-15,7.882583474838611e-15,False
905101_02,single_expiry,0.01,seed_43/repaired,encoder,10,5,0,0,0,0.0004922167355347,0.0081359533751952,0.7912356056897979,2.3929249375887465,False,False,0.0031668329975218,8.437694987151191e-15,8.003580437287994e-15,False
905101_02,single_expiry,0.01,seed_43/repaired,refined,10,5,0,0,0,7.259452098086768e-05,0.0016923604586712,0.6676981379066393,2.113362539466397,False,False,0.3266396659964812,8.437694987151191e-15,7.684824998577255e-15,False
905101_02,single_expiry,0.01,seed_43/repaired,hybrid_polish,10,5,0,0,0,0.0001438118747015,0.0065847668770836,3.9302121553886336,11.474420617089237,False,False,19.359182249994777,8.437694987151191e-15,7.840950111415168e-15,False
905101_03,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0016069572065272,0.0088466051984,0.792716980357468,2.764273836759813,False,False,0.0050838750030379,1.3433698597964394e-14,1.2934098236883074e-14,False
905101_03,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,0.0003714105882093,0.0015801820438894,0.4868085438376924,1.362113667571137,False,False,0.3335557090031216,1.3433698597964394e-14,1.2545520178264267e-14,False
905101_03,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.0016128195704276,0.0082045417620976,0.7719620410345193,2.6836788129342883,False,False,0.0044381670013535,1.3433698597964394e-14,1.2934098236883074e-14,False
905101_03,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,0.0004390247942555,0.0012880389260212,0.3486179214752843,1.4665462638704,False,False,0.3339878339975257,1.3433698597964394e-14,1.27675647831893e-14,False
905101_03,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.0013062735783161,0.0076994211034333,0.7714267213719306,2.65563234976823,False,False,0.0046068749943515,1.3433698597964394e-14,1.2656542480726783e-14,False
905101_03,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,0.0004928982408358,0.0014525289652143,0.3881916576317478,1.5183752339983687,False,False,0.3374251249988447,1.3433698597964394e-14,1.2712053631958042e-14,False
905101_03,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0019009460740499,0.0086137009306943,0.7737995216663838,2.6599341480976273,False,False,0.0050596660003066,1.3433698597964394e-14,1.2712053631958042e-14,False
905101_03,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,0.0004559968962706,0.0013409944566204,0.3584074403572733,1.4685090102236462,False,False,0.3436809580016415,1.3433698597964394e-14,1.2712053631958042e-14,False
905101_03,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,1.0807584815543352e-16,1.989715374808248e-15,2.9668391060973876e-12,1.2713106406315807e-11,True,True,2.115765292001015,1.3433698597964394e-14,1.2823075934420558e-14,False
905101_03,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.0020736427540572,0.0096785357241081,0.79941697047418,2.819080344336141,False,False,0.0044643329965765,1.3433698597964394e-14,1.2823075934420558e-14,False
905101_03,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,0.0003169744317506,0.0022008349183955,0.5315497185475303,1.2806988532785746,False,False,0.341952750000928,1.3433698597964394e-14,1.2823075934420558e-14,False
