S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
88.78,90.0,0.5143593546946517,0.4518045205305508,0.3773477263802554,0.37774434514392524,0.13701162831439628,0.07445679415029544,0.0003966187636698648
88.84,90.0,0.5218197329174743,0.45897153463930507,0.3842203095981777,0.38461363025365713,0.1375994233192966,0.07475122504112736,0.0003933206554794233
88.89999999999999,90.0,0.5293646854526148,0.46622703902846113,0.39118868280457075,0.39157861723850407,0.13817600264804408,0.07503835622389038,0.0003899344339333144
88.96,90.0,0.5369948210804643,0.47357171602768017,0.39825364218007603,0.39864010337604466,0.13874117890038823,0.07531807384760414,0.0003864611959686348
89.02,90.0,0.5447107485343974,0.4810062475798556,0.40541598238561233,0.4057988844408118,0.13929476614878505,0.07559026519424328,0.0003829020551994744
89.08,90.0,0.5525130764461434,0.48853131516645737,0.4126764964489711,0.41305575458911997,0.13983657999717236,0.07585481871748628,0.0003792581401488859
89.14,90.0,0.5604024132908508,0.4961475997325443,0.4200359756516738,0.42041150624404505,0.14036643763917706,0.07611162408087052,0.00037553059237127595
89.2,90.0,0.5683793673320795,0.503855781611874,0.4274952094160779,0.42786692998071224,0.14088415791600162,0.07636057219579617,0.0003717205646343591
89.25999999999999,90.0,0.5764445465664569,0.5116565404515886,0.4350549851927812,0.4354228144118233,0.14138956137367575,0.07660155525880741,0.00036782921904210397
89.32,90.0,0.5845985586682593,0.5195505551370346,0.44271608834834314,0.4430799460735692,0.14188247031991613,0.07683446678869149,0.00036385772522606885
89.38,90.0,0.5928420109338396,0.5275385037162987,0.45047930205338893,0.45083910931188464,0.14236270888045066,0.0770592016629098,0.0003598072584957146
89.44,90.0,0.6011755102256957,0.5356210633247848,0.458345407171078,0.45870108616908883,0.14283010305461769,0.07727565615370674,0.00035567899801081104
89.5,90.0,0.6095996629166789,0.5437989101096045,0.4663151821460144,0.46666665627099474,0.14328448077066447,0.07748372796359004,0.00035147412498032216
89.56,90.0,0.6181150748338038,0.5520727191540677,0.47438940289362874,0.474736596714493,0.14372567194017505,0.077683316260439,0.00034719382086423334
89.62,90.0,0.6267223512020828,0.5604431644019304,0.4825688426900393,0.4829116819556105,0.14415350851204345,0.07787432171189113,0.00034283926557121536
89.67999999999999,90.0,0.635422096588161,0.5689109185818337,0.4908542720623972,0.4911926836981565,0.14456782452576378,0.07805664651943656,0.000338411635759317
89.74,90.0,0.644214914843869,0.5774766531316001,0.4992464586798981,0.499580370782933,0.14496845616397086,0.07823019445170204,0.0003339121030349057
89.8,90.0,0.6531014090496458,0.58614103812264,0.5077461672452203,0.5080755090775358,0.1453552418044255,0.0783948708774197,0.00032934183231558833
89.86,90.0,0.6620821814578748,0.594904742184248,0.5163541593867059,0.5166788613668406,0.14572802207116886,0.07855058279754212,0.00032470198013467844
89.92,90.0,0.6711578334361675,0.6037684324281497,0.5250711935511626,0.5253911872441563,0.14608663988500492,0.0786972388769871,0.00031999369299373637
89.98,90.0,0.6803289654104897,0.6127327743729111,0.5338980248972793,0.5342132430030782,0.14643094051321037,0.07883474947563174,0.00031521810579882015
90.03999999999999,90.0,0.6895961768083547,0.6217984318685953,0.5428354051897932,0.5431457815301028,0.1467607716185615,0.07896302667880206,0.0003103763403096149
90.1,90.0,0.6989600660018005,0.6309660670213831,0.5518840826944206,0.5521895521980306,0.14707598330737992,0.07908198432696256,0.0003054695036099897
90.16,90.0,0.7084212302504646,0.6402363401184303,0.5610448020735068,0.5613453007601508,0.14737642817695773,0.07919153804492352,0.0003004986866439463
90.22,90.0,0.7179802656445092,0.6496099095527278,0.5703183042824466,0.5706137692452901,0.14766196136206267,0.07929160527028123,0.00029546496284349466
90.28,90.0,0.7276377670476271,0.6590874317482351,0.5797053264669666,0.5799956958537209,0.14793244058066046,0.07938210528126854,0.0002903693867543078
90.34,90.0,0.7373943280399146,0.6686695610850929,0.5892066018612943,0.589491814853986,0.1481877261786203,0.07946295922379865,0.0002852129926917968
90.39999999999999,90.0,0.7472505408608809,0.6783569498250464,0.5988228596870462,0.5991028564806405,0.14842768117383476,0.07953409013800017,0.00027999679359436147
90.46,90.0,0.7572069963522969,0.6881502480370894,0.6085548250532158,0.6088295468329535,0.14865217129908115,0.07959542298387356,0.00027472177973775214
90.52,90.0,0.7672642839012177,0.6980501035232317,0.618403218856889,0.6186726077746132,0.14886106504432872,0.07964688466634273,0.0002693889177242115
90.58,90.0,0.7774229913829157,0.7080571617446387,0.6283687576850746,0.6286327568344213,0.1490542336978411,0.07968840405956412,0.0002639991493467164
90.64,90.0,0.7876837051038816,0.7181720657478957,0.6384521537174347,0.6387107071080589,0.14923155138644695,0.07971991203046103,0.00025855339062419436
90.7,90.0,0.7980470097448984,0.7283954560915847,0.6486541146299624,0.6489071671609156,0.14939289511493603,0.07974134146162237,0.0002530525309532017
90.75999999999999,90.0,0.8085134883041402,0.7387279707731271,0.6589753434998114,0.6592228409319737,0.1495381448043288,0.07975262727331578,0.0002474974321623469
90.82,90.0,0.8190837220403863,0.7491702451559387,0.6694165387110481,0.6696584276388904,0.14966718332933815,0.07975370644489055,0.0002418889278422709
