S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
79.36,365.0,1.2895973339995581,1.1680565220799122,1.1554298589527698,1.1559162703546952,0.13416747504678828,0.012626663127142335,0.0004864114019254018
79.48,365.0,1.308971651103768,1.1871399540251015,1.1743905335971092,1.1748804954746122,0.1345811175066587,0.01274942042799232,0.0004899618775029424
79.6,365.0,1.3285572181371077,1.206449159185462,1.193576389228535,1.194070046626354,0.13498082890857277,0.0128727699569271,0.0004936573978191472
79.72,365.0,1.3483552043248985,1.2259854579337157,1.2129887505713643,1.2134862499715944,0.13536645375353418,0.012996707362351367,0.0004974994002300281
79.84,365.0,1.3683667726573947,1.2457501617084643,1.2326289335356548,1.233130422686664,0.13573783912173987,0.013121228172809474,0.0005014891510091157
79.96,365.0,1.3885930797718151,1.2657445728537686,1.2524982450571642,1.253003872799379,0.1360948347146509,0.013246327796604396,0.0005056277422148536
80.08,365.0,1.409035275835487,1.285969984460827,1.272597982939319,1.2731078990281117,0.1364372928961679,0.01337200152150797,0.0005099160887926946
80.2,365.0,1.4296945044301055,1.3064276802118333,1.2929294356973566,1.2934437906231497,0.13676506873274885,0.013498244514476676,0.0005143549257931035
80.32,365.0,1.4505719024370771,1.3271189342260203,1.3134938824045408,1.314012827210374,0.13707802003253633,0.01362505182147955,0.0005189448058331436
80.44,365.0,1.4716685999240786,1.3480450109078772,1.3342925925406453,1.3348162786373206,0.13737600738343336,0.013752418367231956,0.0005236860966753021
80.56,365.0,1.4929857200326697,1.3692071647976913,1.3553268258425302,1.3558554048215907,0.13765889419013955,0.013880338955161164,0.0005285789790605566
80.68,365.0,1.5145243788671896,1.3906066404242872,1.37659783215706,1.3771314556017153,0.1379265467101296,0.014008808267227169,0.0005336234446553512
80.8,365.0,1.5362856853847564,1.4122446721601116,1.3981068512961592,1.398645670590451,0.1381788340885972,0.014137820863952433,0.0005388192942918923
80.92,365.0,1.5582707412865626,1.434122484078606,1.419855112894202,1.4203992790305582,0.13841562839236055,0.01426737118440391,0.0005441661363561057
