tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
135.65413533834587,4.875171864278443,4.890343569227895,4.896348084707991,4.896409886413588,-0.02117622042954803,-0.006004515480096728,6.180170559666465e-05
137.46616541353384,4.909636695676372,4.925729361632792,4.930967806660536,4.931048414967706,-0.021331110984163182,-0.005238445027743843,8.060830717049328e-05
139.2781954887218,4.943860063080724,4.960922728394007,4.965404334610635,4.965502499386496,-0.021544271529911008,-0.0044816062166272985,9.816477586088723e-05
141.09022556390977,4.977846946830877,4.995927258513983,4.99966117152958,4.999775687032115,-0.02181422469870231,-0.0037339130155968903,0.00011451550253571696
142.90225563909775,5.011602158214723,5.030746422949073,5.0337417024160835,5.033871408061616,-0.02213954420136055,-0.0029952794670107252,0.0001297056455324963
144.71428571428572,5.04513034739591,5.065383579954635,5.06764919987841,5.067792980725147,-0.022518852482500407,-0.002265619923774942,0.0001437808467370516
146.52631578947367,5.078436010869414,5.099841980126002,5.1013868293834586,5.10154361636107,-0.02295081851404479,-0.0015448492574563488,0.00015678697761156712
148.33834586466165,5.111725180185056,5.134124771156262,5.1349576541963255,5.135126424109485,-0.02323247401126949,-0.000832883040063237,0.0001687699131593945
150.15037593984962,5.145225631091654,5.168235002329902,5.168364640031841,5.168544415363918,-0.023139008940186834,-0.0001296377019395223,0.00017977533207691465
151.9624060150376,5.178508170847307,5.202175628769934,5.201610659438055,5.201800507979049,-0.023102488590748038,0.0005649693318794391,0.00018984854099368675
153.77443609022555,5.211576974417337,5.235949515454536,5.234698495929935,5.234897530251004,-0.023121521512598164,0.001251019524600494,0.00019903432106893604
155.58646616541353,5.244436084990056,5.2695594410186235,5.26763084789012,5.267838224685148,-0.02319476290006417,0.001928593128503131,0.00020737679502769168
157.3984962406015,5.277089419728326,5.303008101353806,5.300410332252431,5.300625251565264,-0.023320912524105175,0.0025977691013752136,0.00021491931283268428
159.21052631578948,5.309540775202199,5.336298113019694,5.333039487982299,5.333261192336916,-0.02349871278010074,0.0032586250373949355,0.0002217043546171027
161.02255639097743,5.341793832524222,5.369432016478537,5.365520779367749,5.365748552816527,-0.023726946843527053,0.003911237110788335,0.00022777344877766836
162.8345864661654,5.373852162206849,5.402412279163954,5.397856599132872,5.398089766237088,-0.024004436926023054,0.004555680031081977,0.00023316710421550368
164.64661654135338,5.405719228760258,5.435241298394155,5.430049271385496,5.430287196140673,-0.024330042625237525,0.0051920270086593945,0.0002379247551775876
166.45864661654136,5.43739839504731,5.467921404139064,5.462101054409397,5.462343139126721,-0.024702659362086266,0.0058203497296673845,0.00024208471732478642
168.2706766917293,5.468892926411001,5.500454861650061,5.494014143310971,5.494259827464837,-0.025121216899970378,0.00644071833908999,0.0002456841538656107
170.08270676691728,5.500205994589091,5.532843873960686,5.5257906725293235,5.526039431580224,-0.025584677940232226,0.007053201431362233,0.0002487590509003823
171.89473684210526,5.531767453582997,5.565090584265669,5.557432718218358,5.557684062418855,-0.025665264635360785,0.007657866047311224,0.0002513442004969946
173.70676691729324,5.563463864135598,5.597197078185722,5.5889423005085925,5.589195773699632,-0.025478436372994295,0.008254777677129788,0.0002534731910390775
175.51879699248119,5.59497955166039,5.62916538592439,5.620321385656002,5.6205765640597205,-0.025341833995612184,0.00884400026838783,0.00025517840371858114
177.33082706766916,5.626317553150545,5.660997484323177,5.651571888084684,5.651828379099255,-0.025254334934138534,0.009425596238493483,0.0002564910145714805
179.14285714285714,5.657480821374699,5.692695298820949,5.682695672329757,5.682953113330888,-0.0252148509550576,0.009999626491191904,0.0002574410011311201
180.95488721804512,5.6884722281118405,5.724260705322637,5.713694554886101,5.713952612039538,-0.025222326774260395,0.01056615043653597,0.0002580571534371856
182.7669172932331,5.719294567228128,5.755695531982491,5.744570305968777,5.744828673057195,-0.025275738740648812,0.01112522601371424,0.00025836708841797673
184.57894736842104,5.749950557605055,5.7870015609065355,5.775324651189962,5.775583048457456,-0.025374093584907165,0.011676909716573647,0.00025839726749410374
186.39097744360902,5.780442845927647,5.818180529778511,5.8059592731572796,5.806217446173911,-0.025516427229632654,0.012221256621231191,0.0002581730166317797
188.203007518797,5.810774009340686,5.8492341334136615,5.836475812998038,5.836733531546753,-0.025701803657351974,0.012758320415623636,0.00025771854871514677
190.01503759398497,5.84094655798062,5.88016402524395,5.866875871813421,5.867132928801061,-0.02592931383280117,0.013288153430528915,0.00025705698763989204
191.82706766917292,5.870962937390178,5.910971818738508,5.897161012066676,5.897417222460619,-0.026198074676497818,0.013810806671831877,0.0002562103939425242
