run,selected_step,case,factor,parameter,truth,estimate,signed_error,relative_error,training_scaled_error,absolute_gate_tolerance,absolute_error_in_gate_units,parameter_pass,optimizer_success
double_lbfgs908021,0,1,2,sigma,0.16861484497092516,0.17090375170886032,0.0022889067379351646,0.01357476406261767,0.01357476406261767,0.008430742248546258,0.2714952812523534,True,True
double_lbfgs908021,0,1,2,rho,-0.12502339170672105,-0.16721646182121086,-0.042193070114489806,,-0.08438614022897961,0.05,0.8438614022897961,True,True
double_lbfgs908021,0,1,2,v0,0.02029710456417884,0.02947409596798619,0.009176991403807351,0.45213303083649087,0.45213303083649087,0.001014855228208942,9.042660616729817,False,True
double_lbfgs908021,0,2,1,kappa,0.9412413534942901,0.8936112670761123,-0.047630086418177786,-0.05060347831228893,-0.05060347831228893,0.047062067674714506,1.0120695662457786,False,True
double_lbfgs908021,0,2,1,theta,0.017039199481476336,0.015503567744287603,-0.0015356317371887328,-0.09012346729423232,-0.09012346729423232,0.0008519599740738168,1.8024693458846461,False,True
double_lbfgs908021,0,2,1,sigma,0.09645169951518268,0.10215390640791526,0.005702206892732584,0.05911981770559664,0.05911981770559664,0.0048225849757591345,1.1823963541119327,False,True
double_lbfgs908021,0,2,1,rho,-0.5605928476095997,-0.5652586381506992,-0.0046657905410995015,,-0.009331581082199003,0.05,0.09331581082199003,True,True
double_lbfgs908021,0,2,1,v0,0.033240407194620354,0.03151173778824164,-0.0017286694063787175,-0.052005061076943915,-0.052005061076943915,0.0016620203597310177,1.0401012215388783,False,True
double_lbfgs908021,0,2,2,kappa,6.113867576332211,6.216740385438356,0.10287280910614438,0.016826142833773827,0.016826142833773827,0.3056933788166106,0.3365228566754765,True,True
double_lbfgs908021,0,2,2,theta,0.03023963429925578,0.031610972844144665,0.0013713385448888837,0.045349045273428895,0.045349045273428895,0.0015119817149627892,0.9069809054685779,True,True
double_lbfgs908021,0,2,2,sigma,0.19754865714978864,0.17498324061625223,-0.022565416533536414,-0.11422713198412929,-0.11422713198412929,0.009877432857489432,2.284542639682586,False,True
double_lbfgs908021,0,2,2,rho,-0.044552561406894675,-0.04257038475518493,0.001982176651709744,,0.003964353303419488,0.05,0.03964353303419488,True,True
double_lbfgs908021,0,2,2,v0,0.014806297704956386,0.016499607458993624,0.0016933097540372376,0.1143641569134737,0.1143641569134737,0.0007403148852478193,2.287283138269474,False,True
double_lbfgs908021,0,3,1,kappa,0.33124504983912395,0.35329435844919205,0.022049308610068097,0.06656494525964027,0.06656494525964027,0.016562252491956198,1.3312989051928052,False,True
double_lbfgs908021,0,3,1,theta,0.04721768860646289,0.04950238566865237,0.002284697062189485,0.048386465530563236,0.048386465530563236,0.0023608844303231445,0.9677293106112647,True,True
double_lbfgs908021,0,3,1,sigma,0.09961979094491745,0.10820795375823841,0.008588162813320963,0.08620940409390737,0.08620940409390737,0.004980989547245873,1.7241880818781472,False,True
double_lbfgs908021,0,3,1,rho,-0.0657839115595773,-0.049162333514265466,0.016621578045311836,,0.03324315609062367,0.05,0.3324315609062367,True,True
double_lbfgs908021,0,3,1,v0,0.03544834961452888,0.037752193160270474,0.0023038435457415907,0.06499156013732543,0.06499156013732543,0.0017724174807264442,1.2998312027465087,False,True
double_lbfgs908021,0,3,2,kappa,8.00549473509912,7.989970203402078,-0.015524531697042043,-0.001939234514636131,-0.001939234514636131,0.400274736754956,0.03878469029272262,True,True
