case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_02,rich,0.01,seed_17/repaired,refined,60,30,0,0,0,0.0006185947116545148,0.003116991655209844,0.32737553714934464,0.9658615728722113,False,False,0.3381714999995893,9.2148511043888e-15,8.221232329348564e-15,False
905101_02,rich,0.01,seed_29/repaired,encoder,60,30,0,0,0,0.001567272203507688,0.009495269537692273,0.8064991772556592,2.3513803768800465,False,False,0.005342542004655115,9.2148511043888e-15,8.265822684790872e-15,False
905101_02,rich,0.01,seed_29/repaired,refined,60,30,0,0,0,0.0006736196661016981,0.003346383190430887,0.3207688994288379,0.9673402287417279,False,False,0.34241725000174483,9.2148511043888e-15,8.215650382226158e-15,False
905101_02,rich,0.01,seed_43/repaired,encoder,60,30,0,0,0,0.0015371346164898719,0.009211051359455331,0.8180251828384308,2.3428559921172853,False,False,0.004740499993204139,9.2148511043888e-15,8.453968607650313e-15,False
905101_02,rich,0.01,seed_43/repaired,refined,60,30,0,0,0,0.0005780505995262384,0.00280420910511302,0.3097049518231769,0.8144040356477619,False,False,0.34836054199695354,9.2148511043888e-15,8.332163152252776e-15,False
905101_02,rich,0.01,seed_43/repaired,hybrid_polish,60,30,0,0,0,0.00010833982142682429,0.00047078264358592744,1.1336186800538668,8.212421747103042,False,False,38.54893866699422,9.2148511043888e-15,8.221232329348564e-15,False
905101_02,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0,0.0006522895776553992,0.008194795071889324,0.7816608830893443,2.2622301645386753,False,False,0.003173458004312124,8.43769498715119e-15,7.664008316865534e-15,False
905101_02,single_expiry,0.0,unified_v6/unified,refined,10,5,0,0,0,0.0002134925752842398,0.002508244055434735,0.7794808639530254,1.7366038462719697,False,False,0.30598954100423725,8.43769498715119e-15,7.653599976009673e-15,False
905101_02,single_expiry,0.0,seed_17/repaired,encoder,10,5,0,0,0,0.0004549155047078767,0.007969570022900916,0.7985773454690864,2.396713328836097,False,False,0.0038471250009024516,8.43769498715119e-15,7.937660945200875e-15,False
905101_02,single_expiry,0.0,seed_17/repaired,refined,10,5,0,0,0,5.766909326941082e-05,0.0011535830076920008,1.018031248603836,3.4672162472623387,False,False,0.307035875004658,8.43769498715119e-15,8.094219738907782e-15,False
905101_02,single_expiry,0.0,seed_29/repaired,encoder,10,5,0,0,0,0.000310577444003947,0.0072084812564051914,0.7995853180611504,2.423610434682469,False,False,0.004235874999722,8.43769498715119e-15,7.761152831520235e-15,False
905101_02,single_expiry,0.0,seed_29/repaired,refined,10,5,0,0,0,7.827141258689253e-06,0.00018950029594421396,0.4970138415752567,1.8709154597624644,False,False,0.3125575000012759,8.43769498715119e-15,7.618038144752148e-15,False
905101_02,single_expiry,0.0,seed_43/repaired,encoder,10,5,0,0,0,0.0003720935503346055,0.007579703466550873,0.7936716686987342,2.403467850285797,False,False,0.00387587499426445,8.43769498715119e-15,7.386886241578239e-15,False
905101_02,single_expiry,0.0,seed_43/repaired,refined,10,5,0,0,0,3.161221959450605e-05,0.0008455451077645825,0.9107887781156633,2.891111061088916,False,False,0.3104090409979108,8.43769498715119e-15,7.674416657721395e-15,False
905101_02,single_expiry,0.0,seed_43/repaired,hybrid_polish,10,5,0,0,0,5.277482547980599e-10,5.3556024270257907e-08,1.0399695439506398,4.028220934246741,False,True,13.575038373994175,8.43769498715119e-15,7.882583474838611e-15,False
905101_02,single_expiry,0.01,unified_v6/unified,encoder,10,5,0,0,0,0.00040389065635398555,0.0066940195136958635,0.7778455241276727,2.254287280011952,False,False,0.0026908750005532056,8.43769498715119e-15,7.86176679312689e-15,False
905101_02,single_expiry,0.01,unified_v6/unified,refined,10,5,0,0,0,5.123877599357602e-05,0.0013303802526492801,0.654771318949596,1.9392154464550326,False,False,0.30222891699668253,8.43769498715119e-15,7.740336149808513e-15,False
905101_02,single_expiry,0.01,seed_17/repaired,encoder,10,5,0,0,0,0.0005181750714644748,0.008297397600325449,0.8019031514236786,2.405049329299663,False,False,0.0037851660017622635,8.43769498715119e-15,7.83704698359422e-15,False
905101_02,single_expiry,0.01,seed_17/repaired,refined,10,5,0,0,0,7.146066547333423e-05,0.001634160895589036,0.665952076547429,2.0898795628328872,False,False,0.3177524999991874,8.43769498715119e-15,7.851358452271029e-15,False
905101_02,single_expiry,0.01,seed_29/repaired,encoder,10,5,0,0,0,0.00034741571053938645,0.007370245239694379,0.7948425032717628,2.4097892183873206,False,False,0.0038691660010954365,8.43769498715119e-15,7.816663982751493e-15,False
