case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,rich,0.01,seed_29/repaired,refined,v0_slow,0.0520946267116691,0.07108308208191993,0.018988455370250838
905101_00,rich,0.01,seed_29/repaired,refined,kappa_fast,8.066470891631734,11.730736114989629,3.6642652233578943
905101_00,rich,0.01,seed_29/repaired,refined,theta_fast,0.07812599327953584,0.059705844917765344,0.0184201483617705
905101_00,rich,0.01,seed_29/repaired,refined,sigma_fast,0.4195628559849137,0.44653031432016066,0.02696745833524694
905101_00,rich,0.01,seed_29/repaired,refined,rho_fast,-0.22326062210053133,-0.16781112381449637,0.05544949828603496
905101_00,rich,0.01,seed_29/repaired,refined,v0_fast,0.08938647236998075,0.06905149348261272,0.02033497888736803
905101_00,rich,0.01,seed_43/repaired,encoder,kappa_slow,0.4515711432074293,0.45594233361499636,0.0043711904075670605
905101_00,rich,0.01,seed_43/repaired,encoder,theta_slow,0.031871077108963926,0.057048219765088407,0.02517714265612448
905101_00,rich,0.01,seed_43/repaired,encoder,sigma_slow,0.036660762881715,0.110044046058362,0.073383283176647
905101_00,rich,0.01,seed_43/repaired,encoder,rho_slow,-0.39058756248758686,-0.3706781451938113,0.019909417293775544
905101_00,rich,0.01,seed_43/repaired,encoder,v0_slow,0.0520946267116691,0.0659885112630022,0.013893884551333106
905101_00,rich,0.01,seed_43/repaired,encoder,kappa_fast,8.066470891631734,6.8845144882234015,1.181956403408333
905101_00,rich,0.01,seed_43/repaired,encoder,theta_fast,0.07812599327953584,0.056885297691298395,0.02124069558823745
905101_00,rich,0.01,seed_43/repaired,encoder,sigma_fast,0.4195628559849137,0.4432511074104232,0.023688251425509455
905101_00,rich,0.01,seed_43/repaired,encoder,rho_fast,-0.22326062210053133,-0.039090129672756484,0.18417049242777483
905101_00,rich,0.01,seed_43/repaired,encoder,v0_fast,0.08938647236998075,0.07077322161133569,0.01861325075864506
905101_00,rich,0.01,seed_43/repaired,refined,kappa_slow,0.4515711432074293,0.4521823188895353,0.0006111756821060021
905101_00,rich,0.01,seed_43/repaired,refined,theta_slow,0.031871077108963926,0.05173937611925888,0.01986829901029495
905101_00,rich,0.01,seed_43/repaired,refined,sigma_slow,0.036660762881715,0.08410743567802645,0.04744667279631145
905101_00,rich,0.01,seed_43/repaired,refined,rho_slow,-0.39058756248758686,-0.2586395583912031,0.13194800409638374
905101_00,rich,0.01,seed_43/repaired,refined,v0_slow,0.0520946267116691,0.07292789767239281,0.020833270960723717
905101_00,rich,0.01,seed_43/repaired,refined,kappa_fast,8.066470891631734,11.501931865349272,3.4354609737175377
905101_00,rich,0.01,seed_43/repaired,refined,theta_fast,0.07812599327953584,0.05781597087901749,0.02031002240051835
905101_00,rich,0.01,seed_43/repaired,refined,sigma_fast,0.4195628559849137,0.45092918029843104,0.031366324313517324
905101_00,rich,0.01,seed_43/repaired,refined,rho_fast,-0.22326062210053133,-0.16976872703440737,0.05349189506612395
905101_00,rich,0.01,seed_43/repaired,refined,v0_fast,0.08938647236998075,0.06712005599700839,0.02226641637297236
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,kappa_slow,0.4515711432074293,1.1120699566525845,0.6604988134451552
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,theta_slow,0.031871077108963926,0.006239687911118737,0.02563138919784519
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,sigma_slow,0.036660762881715,0.11778156419560201,0.08112080131388702
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,rho_slow,-0.39058756248758686,-0.918556370580428,0.5279688080928412
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,v0_slow,0.0520946267116691,0.02166796737205807,0.030426659339611025
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,kappa_fast,8.066470891631734,27.85301544747368,19.786544555841946
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,theta_fast,0.07812599327953584,0.11090954741659803,0.03278355413706219
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,sigma_fast,0.4195628559849137,0.10056090023031722,0.3190019557545965
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,rho_fast,-0.22326062210053133,-0.3949100639423457,0.17164944184181435
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,v0_fast,0.08938647236998075,0.12215787724874311,0.03277140487876236
905101_00,single_expiry,0.0,unified_v6/unified,encoder,kappa_slow,0.4515711432074293,0.4977620551599249,0.046190911952495584
905101_00,single_expiry,0.0,unified_v6/unified,encoder,theta_slow,0.031871077108963926,0.06889579805032509,0.03702472094136116
905101_00,single_expiry,0.0,unified_v6/unified,encoder,sigma_slow,0.036660762881715,0.13420620463161662,0.09754544174990162
905101_00,single_expiry,0.0,unified_v6/unified,encoder,rho_slow,-0.39058756248758686,-0.34286542228500694,0.04772214020257992
905101_00,single_expiry,0.0,unified_v6/unified,encoder,v0_slow,0.0520946267116691,0.06670575783737795,0.014611131125708852
905101_00,single_expiry,0.0,unified_v6/unified,encoder,kappa_fast,8.066470891631734,7.497002576684337,0.5694683149473976
905101_00,single_expiry,0.0,unified_v6/unified,encoder,theta_fast,0.07812599327953584,0.0717842053736313,0.006341787905904547
905101_00,single_expiry,0.0,unified_v6/unified,encoder,sigma_fast,0.4195628559849137,0.5077163738784005,0.0881535178934868
905101_00,single_expiry,0.0,unified_v6/unified,encoder,rho_fast,-0.22326062210053133,-0.0026673531690151677,0.22059326893151615
905101_00,single_expiry,0.0,unified_v6/unified,encoder,v0_fast,0.08938647236998075,0.06236232815948889,0.02702414421049186
905101_00,single_expiry,0.0,unified_v6/unified,refined,kappa_slow,0.4515711432074293,0.4708997776239143,0.01932863441648497
905101_00,single_expiry,0.0,unified_v6/unified,refined,theta_slow,0.031871077108963926,0.05826828781888368,0.026397210709919752
905101_00,single_expiry,0.0,unified_v6/unified,refined,sigma_slow,0.036660762881715,0.11527283676507356,0.07861207388335856
