case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,63,False,0.8,0.4931506849315068,0.24539240301016818,0.24539240301016818,0.47916596385673543,0.47916596385673543
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,64,False,0.8200000000000001,0.4931506849315068,0.2319408695154436,0.2319408695154436,0.479539895388675,0.479539895388675
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,65,True,0.8400000000000001,0.4931506849315068,0.21903382639841076,0.21903382639841076,0.47994632839859874,0.47994632839859874
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,66,False,0.86,0.4931506849315068,0.20667267855762644,0.20667267855762644,0.4803829738370147,0.4803829738370147
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,67,False,0.88,0.4931506849315068,0.1948558260454534,0.1948558260454534,0.4808476953819797,0.4808476953819797
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,68,True,0.9,0.4931506849315068,0.18357889784901577,0.18357889784901577,0.48133849803365614,0.48133849803365614
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,69,False,0.92,0.4931506849315068,0.17283500906161522,0.17283500906161522,0.4818535177580586,0.4818535177580586
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,70,False,0.9400000000000001,0.4931506849315068,0.16261503216500287,0.16261503216500287,0.482391012050414,0.482391012050414
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,71,True,0.96,0.4931506849315068,0.152907874255488,0.152907874255488,0.48294935130936556,0.48294935130936556
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,72,False,0.98,0.4931506849315068,0.14370075324542703,0.14370075324542703,0.4835270109301648,0.4835270109301648
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,73,False,1.0,0.4931506849315068,0.13497946728505372,0.13497946728505372,0.48412256403887693,0.48412256403887693
