case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,2,v0,0.027983118109005643,0.02944003207793413,0.0014569139689284867,0.05206403243745795,False
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,1,kappa,2.178517163759058,2.078014841808157,0.10050232195090114,0.04613336246453214,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,1,theta,0.044119929309957145,0.04511709616218709,0.000997166852229947,0.02260127946317681,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,1,sigma,0.23368438699347818,0.22525230864371587,0.008432078349762312,0.036083190915093696,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,1,rho,0.09531912169906687,0.09715968830948107,0.001840566610414207,,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,1,v0,0.018496358083150453,0.019665822617146386,0.0011694645339959328,0.06322674597553747,False
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,2,kappa,8.539959865434577,8.589264936738727,0.049305071304150516,0.005773454686094301,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,2,theta,0.018030916779741293,0.01741408581989554,0.0006168309598457537,0.034209628239136265,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,2,sigma,0.13141222840489866,0.13262305857339907,0.0012108301685004041,0.009213983989143495,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,2,rho,-0.3060879407684096,-0.3130296657900322,0.006941725021622602,,True
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,deep17_adam909121,2,v0,0.04063754240461964,0.03944685816947621,0.00119068423514343,0.029300104403165727,True
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,1,kappa,0.5393274117591856,0.5435091478836307,0.004181736124445057,0.007753613173128011,True
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,1,theta,0.06302821342088492,0.05935257857920119,0.0036756348416837337,0.05831729383060351,False
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,1,sigma,0.15265980058189546,0.13350463218464603,0.019155168397249428,0.12547617856328522,False
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,1,rho,0.17784547854579946,0.18841679583325843,0.01057131728745897,,True
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,1,v0,0.07079224244188569,0.06691864228512263,0.003873600156763052,0.054717862058726884,False
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,2,kappa,5.496256844131127,5.588456654243239,0.09219981011211242,0.016775018476540608,True
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,2,theta,0.08131971801187132,0.08474474600160749,0.003425027989736165,0.042118050498357214,True
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,2,sigma,0.4628291903855949,0.49100674871896643,0.028177558333371544,0.06088111752393166,False
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,2,rho,-0.274419494753725,-0.22296531890311394,0.05145417585061107,,False
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,deep17_adam909121,2,v0,0.029988192664377546,0.03368834278609963,0.0037001501217220865,0.12338689974195846,False
