condition,case,model,parameter,true,estimated,absolute_error
Clean,4,Unregularized matched PINN,sigma_f,0.3637660880532879,0.3475209544375626,0.016245133615725327
Clean,4,Unregularized matched PINN,rho_f,0.16482312757872808,0.16312817573561156,0.0016949518431165211
Clean,4,Unregularized matched PINN,v0_f,0.05066947144956602,0.052870137869098346,0.0022006664195323294
Clean,4,Selected regularized PINN,kappa_s,1.104918022690338,1.1257387091035458,0.02082068641320789
Clean,4,Selected regularized PINN,theta_s,0.027779644661646053,0.02411081396044822,0.003668830701197834
Clean,4,Selected regularized PINN,sigma_s,0.12223046086313684,0.12071855364490718,0.0015119072182296633
Clean,4,Selected regularized PINN,rho_s,-0.23986934691055106,-0.2632491474625994,0.023379800552048358
Clean,4,Selected regularized PINN,v0_s,0.09696018077000493,0.0936259738629857,0.00333420690701923
Clean,4,Selected regularized PINN,kappa_f,9.717750440511974,9.907177055423297,0.18942661491132284
Clean,4,Selected regularized PINN,theta_f,0.013359436239942183,0.01731823979056492,0.003958803550622739
Clean,4,Selected regularized PINN,sigma_f,0.3637660880532879,0.340336499385747,0.023429588667540913
Clean,4,Selected regularized PINN,rho_f,0.16482312757872808,0.16575117332627054,0.0009280457475424608
Clean,4,Selected regularized PINN,v0_f,0.05066947144956602,0.05406144448876381,0.0033919730391977904
Clean,5,Original Double Heston,kappa_s,0.3223791291148179,0.2995192439002632,0.02285988521455473
Clean,5,Original Double Heston,theta_s,0.03001718636435247,0.03315504577190949,0.003137859407557019
Clean,5,Original Double Heston,sigma_s,0.09723368607536052,0.09354496358665869,0.0036887224887018344
Clean,5,Original Double Heston,rho_s,-0.23780107609617018,-0.21632416184578607,0.021476914250384116
Clean,5,Original Double Heston,v0_s,0.014319004875600616,0.016721104000247948,0.002402099124647332
Clean,5,Original Double Heston,kappa_f,6.323304805694872,6.361737867589083,0.03843306189421103
Clean,5,Original Double Heston,theta_f,0.014272831731980119,0.01195655145019478,0.0023162802817853385
Clean,5,Original Double Heston,sigma_f,0.11195723066688505,0.1232693186104545,0.011312087943569443
Clean,5,Original Double Heston,rho_f,-0.16327532289378616,-0.15671344965361889,0.006561873240167271
Clean,5,Original Double Heston,v0_f,0.038554470934524125,0.036156243097392675,0.0023982278371314503
Clean,5,Unregularized matched PINN,kappa_s,0.3223791291148179,0.26492860047005123,0.057450528644766685
Clean,5,Unregularized matched PINN,theta_s,0.03001718636435247,0.03369001522663185,0.0036728288622793794
Clean,5,Unregularized matched PINN,sigma_s,0.09723368607536052,0.09210572572752689,0.005127960347833638
Clean,5,Unregularized matched PINN,rho_s,-0.23780107609617018,-0.225399983104979,0.012401092991191187
Clean,5,Unregularized matched PINN,v0_s,0.014319004875600616,0.015854782923179676,0.0015357780475790603
Clean,5,Unregularized matched PINN,kappa_f,6.323304805694872,6.368967063865988,0.04566225817111569
Clean,5,Unregularized matched PINN,theta_f,0.014272831731980119,0.012912764837801963,0.0013600668941781552
Clean,5,Unregularized matched PINN,sigma_f,0.11195723066688505,0.1280570596471322,0.016099828980247158
Clean,5,Unregularized matched PINN,rho_f,-0.16327532289378616,-0.15004045696396917,0.013234865929816986
Clean,5,Unregularized matched PINN,v0_f,0.038554470934524125,0.03700203662621396,0.0015524343083101674
Clean,5,Selected regularized PINN,kappa_s,0.3223791291148179,0.28583057843714155,0.03654855067767637
