run,selected_step,case,factor,parameter,truth,estimate,signed_error,relative_error,training_scaled_error,absolute_gate_tolerance,absolute_error_in_gate_units,parameter_pass,optimizer_success
double_sobolev_s17,12000,0,2,v0,0.033357296262996744,0.03554894967913551,0.002191653416138764,0.06570236984614265,0.06570236984614265,0.0016678648131498372,1.314047396922853,False,True
double_sobolev_s17,12000,1,1,kappa,1.6508894740031523,1.3281447935563584,-0.32274468044679394,-0.1954974488172051,-0.1954974488172051,0.08254447370015762,3.909948976344102,False,True
double_sobolev_s17,12000,1,1,theta,0.047802917465337075,0.038859683168725276,-0.008943234296611799,-0.1870855330764431,-0.1870855330764431,0.002390145873266854,3.741710661528862,False,True
double_sobolev_s17,12000,1,1,sigma,0.16000932620347494,0.15780227671624997,-0.0022070494872249713,-0.013793255303246446,-0.013793255303246446,0.008000466310173747,0.2758651060649289,True,True
double_sobolev_s17,12000,1,1,rho,-0.2751483136038373,-0.27753952274845717,-0.002391209144619877,,-0.004782418289239754,0.05,0.04782418289239754,True,True
double_sobolev_s17,12000,1,1,v0,0.04971122380326658,0.04049500117118133,-0.009216222632085248,-0.18539520709767038,-0.18539520709767038,0.002485561190163329,3.7079041419534073,False,True
double_sobolev_s17,12000,1,2,kappa,4.620666744981078,4.613913154135517,-0.0067535908455607085,-0.0014616052657111427,-0.0014616052657111427,0.2310333372490539,0.02923210531422285,True,True
double_sobolev_s17,12000,1,2,theta,0.036384226246289605,0.04537535639362879,0.008991130147339182,0.24711615650356397,0.24711615650356397,0.0018192113123144803,4.94232313007128,False,True
double_sobolev_s17,12000,1,2,sigma,0.16861484497092516,0.17090375170886032,0.0022889067379351646,0.01357476406261767,0.01357476406261767,0.008430742248546258,0.2714952812523534,True,True
double_sobolev_s17,12000,1,2,rho,-0.12502339170672105,-0.16721646182121086,-0.042193070114489806,,-0.08438614022897961,0.05,0.8438614022897961,True,True
double_sobolev_s17,12000,1,2,v0,0.02029710456417884,0.02947409596798619,0.009176991403807351,0.45213303083649087,0.45213303083649087,0.001014855228208942,9.042660616729817,False,True
double_sobolev_s17,12000,2,1,kappa,0.9412413534942901,0.8936112670761123,-0.047630086418177786,-0.05060347831228893,-0.05060347831228893,0.047062067674714506,1.0120695662457786,False,True
double_sobolev_s17,12000,2,1,theta,0.017039199481476336,0.015503567744287603,-0.0015356317371887328,-0.09012346729423232,-0.09012346729423232,0.0008519599740738168,1.8024693458846461,False,True
double_sobolev_s17,12000,2,1,sigma,0.09645169951518268,0.10215390640791526,0.005702206892732584,0.05911981770559664,0.05911981770559664,0.0048225849757591345,1.1823963541119327,False,True
double_sobolev_s17,12000,2,1,rho,-0.5605928476095997,-0.5652586381506992,-0.0046657905410995015,,-0.009331581082199003,0.05,0.09331581082199003,True,True
double_sobolev_s17,12000,2,1,v0,0.033240407194620354,0.03151173778824164,-0.0017286694063787175,-0.052005061076943915,-0.052005061076943915,0.0016620203597310177,1.0401012215388783,False,True
double_sobolev_s17,12000,2,2,kappa,6.113867576332211,6.216740385438356,0.10287280910614438,0.016826142833773827,0.016826142833773827,0.3056933788166106,0.3365228566754765,True,True
double_sobolev_s17,12000,2,2,theta,0.03023963429925578,0.031610972844144665,0.0013713385448888837,0.045349045273428895,0.045349045273428895,0.0015119817149627892,0.9069809054685779,True,True
double_sobolev_s17,12000,2,2,sigma,0.19754865714978864,0.17498324061625223,-0.022565416533536414,-0.11422713198412929,-0.11422713198412929,0.009877432857489432,2.284542639682586,False,True
double_sobolev_s17,12000,2,2,rho,-0.044552561406894675,-0.04257038475518493,0.001982176651709744,,0.003964353303419488,0.05,0.03964353303419488,True,True
double_sobolev_s17,12000,2,2,v0,0.014806297704956386,0.016499607458993624,0.0016933097540372376,0.1143641569134737,0.1143641569134737,0.0007403148852478193,2.287283138269474,False,True
double_sobolev_s17,12000,3,1,kappa,0.33124504983912395,0.35329435844919205,0.022049308610068097,0.06656494525964027,0.06656494525964027,0.016562252491956198,1.3312989051928052,False,True
double_sobolev_s17,12000,3,1,theta,0.04721768860646289,0.04950238566865237,0.002284697062189485,0.048386465530563236,0.048386465530563236,0.0023608844303231445,0.9677293106112647,True,True
double_sobolev_s17,12000,3,1,sigma,0.09961979094491745,0.10820795375823841,0.008588162813320963,0.08620940409390737,0.08620940409390737,0.004980989547245873,1.7241880818781472,False,True
double_sobolev_s17,12000,3,1,rho,-0.0657839115595773,-0.049162333514265466,0.016621578045311836,,0.03324315609062367,0.05,0.3324315609062367,True,True
double_sobolev_s17,12000,3,1,v0,0.03544834961452888,0.037752193160270474,0.0023038435457415907,0.06499156013732543,0.06499156013732543,0.0017724174807264442,1.2998312027465087,False,True
double_sobolev_s17,12000,3,2,kappa,8.00549473509912,7.989970203402078,-0.015524531697042043,-0.001939234514636131,-0.001939234514636131,0.400274736754956,0.03878469029272262,True,True
double_sobolev_s17,12000,3,2,theta,0.039856320121106514,0.037489384964961785,-0.0023669351561447297,-0.05938669573489509,-0.05938669573489509,0.0019928160060553256,1.1877339146979018,False,True
double_sobolev_s17,12000,3,2,sigma,0.36346010156817254,0.35562826424251104,-0.007831837325661506,-0.021547997405686425,-0.021547997405686425,0.01817300507840863,0.4309599481137284,True,True
double_sobolev_s17,12000,3,2,rho,0.2812903334114032,0.2941988596816947,0.012908526270291487,,0.025817052540582974,0.05,0.25817052540582974,True,True
double_sobolev_s17,12000,3,2,v0,0.08637275943563226,0.08406193267567502,-0.002310826759957238,-0.02675411524485726,-0.02675411524485726,0.004318637971781613,0.5350823048971453,True,True
double_continue_pde02_s17,4000,0,1,kappa,1.649794501992554,1.7985370192036296,0.14874251721107568,0.0901582088141466,0.0901582088141466,0.08248972509962771,1.8031641762829318,False,True
double_continue_pde02_s17,4000,0,1,theta,0.03939342666365212,0.03898670078321832,-0.0004067258804337989,-0.010324714422700384,-0.010324714422700384,0.001969671333182606,0.20649428845400766,True,True
double_continue_pde02_s17,4000,0,1,sigma,0.20588552972798105,0.2790242176519023,0.07313868792392123,0.35523957424571373,0.35523957424571373,0.010294276486399053,7.104791484914275,False,True
double_continue_pde02_s17,4000,0,1,rho,-0.2464467135076679,-0.19251329431593311,0.05393341919173478,,0.10786683838346955,0.05,1.0786683838346955,False,True
double_continue_pde02_s17,4000,0,1,v0,0.01845715886952104,0.01612234379631671,-0.0023348150732043285,-0.12649915892851155,-0.12649915892851155,0.0009228579434760521,2.5299831785702307,False,True
double_continue_pde02_s17,4000,0,2,kappa,6.9659396312606585,7.64834584449982,0.6824062132391617,0.09796326832589325,0.09796326832589325,0.34829698156303296,1.9592653665178648,False,True
double_continue_pde02_s17,4000,0,2,theta,0.04993438431331109,0.05020733783395389,0.0002729535206427991,0.005466243839719026,0.005466243839719026,0.0024967192156655545,0.10932487679438051,True,True
double_continue_pde02_s17,4000,0,2,sigma,0.577942892411992,0.5623168287797622,-0.015626063632229847,-0.027037383515550982,-0.027037383515550982,0.028897144620599603,0.5407476703110196,True,True
double_continue_pde02_s17,4000,0,2,rho,-0.00752456823647496,-0.010701471529219186,-0.0031769032927442264,,-0.006353806585488453,0.05,0.06353806585488453,True,True
double_continue_pde02_s17,4000,0,2,v0,0.033357296262996744,0.03567638666264394,0.002319090399647193,0.0695227329386333,0.0695227329386333,0.0016678648131498372,1.390454658772666,False,True
double_continue_pde02_s17,4000,1,1,kappa,1.6508894740031523,1.2787290871337333,-0.372160386869419,-0.22543022578427824,-0.22543022578427824,0.08254447370015762,4.5086045156855645,False,True
double_continue_pde02_s17,4000,1,1,theta,0.047802917465337075,0.039740470460861085,-0.00806244700447599,-0.16866014527925505,-0.16866014527925505,0.002390145873266854,3.3732029055851007,False,True
double_continue_pde02_s17,4000,1,1,sigma,0.16000932620347494,0.1591313743810015,-0.0008779518224734384,-0.005486879067017606,-0.005486879067017606,0.008000466310173747,0.10973758134035212,True,True
double_continue_pde02_s17,4000,1,1,rho,-0.2751483136038373,-0.247743325192188,0.02740498841164929,,0.05480997682329858,0.05,0.5480997682329858,True,True
double_continue_pde02_s17,4000,1,1,v0,0.04971122380326658,0.04111374904717921,-0.008597474756087367,-0.17294836252899526,-0.17294836252899526,0.002485561190163329,3.458967250579905,False,True
double_continue_pde02_s17,4000,1,2,kappa,4.620666744981078,4.673421527892387,0.052754782911309306,0.01141713649195996,0.01141713649195996,0.2310333372490539,0.22834272983919918,True,True
double_continue_pde02_s17,4000,1,2,theta,0.036384226246289605,0.04452621513573264,0.008141988889443036,0.22377798649142197,0.22377798649142197,0.0018192113123144803,4.475559729828439,False,True
double_continue_pde02_s17,4000,1,2,sigma,0.16861484497092516,0.16189909907261713,-0.006715745898308034,-0.039828912451131175,-0.039828912451131175,0.008430742248546258,0.7965782490226235,True,True
double_continue_pde02_s17,4000,1,2,rho,-0.12502339170672105,-0.21064123002139984,-0.08561783831467878,,-0.17123567662935757,0.05,1.7123567662935757,False,True
double_continue_pde02_s17,4000,1,2,v0,0.02029710456417884,0.028862040924332907,0.008564936360154068,0.4219782350271683,0.4219782350271683,0.001014855228208942,8.439564700543364,False,True
double_continue_pde02_s17,4000,2,1,kappa,0.9412413534942901,0.9175614802351331,-0.02367987325915699,-0.025158130984414554,-0.025158130984414554,0.047062067674714506,0.5031626196882911,True,True
double_continue_pde02_s17,4000,2,1,theta,0.017039199481476336,0.01610071411756911,-0.0009384853639072266,-0.05507801965271158,-0.05507801965271158,0.0008519599740738168,1.1015603930542315,False,True
double_continue_pde02_s17,4000,2,1,sigma,0.09645169951518268,0.10061479908459176,0.004163099569409079,0.043162532027273985,0.043162532027273985,0.0048225849757591345,0.8632506405454795,True,True
double_continue_pde02_s17,4000,2,1,rho,-0.5605928476095997,-0.5589815703561943,0.0016112772534053743,,0.0032225545068107486,0.05,0.032225545068107486,True,True
double_continue_pde02_s17,4000,2,1,v0,0.033240407194620354,0.03212054941103562,-0.0011198577835847337,-0.03368965298854618,-0.03368965298854618,0.0016620203597310177,0.6737930597709237,True,True
double_continue_pde02_s17,4000,2,2,kappa,6.113867576332211,6.206347648937301,0.09248007260509006,0.015126279961164953,0.015126279961164953,0.3056933788166106,0.302525599223299,True,True
double_continue_pde02_s17,4000,2,2,theta,0.03023963429925578,0.03114357021426705,0.0009039359150112697,0.029892422178978407,0.029892422178978407,0.0015119817149627892,0.5978484435795681,True,True
double_continue_pde02_s17,4000,2,2,sigma,0.19754865714978864,0.1708103698008219,-0.026738287348966744,-0.13535038777151895,-0.13535038777151895,0.009877432857489432,2.707007755430379,False,True
double_continue_pde02_s17,4000,2,2,rho,-0.044552561406894675,-0.048355948580326324,-0.0038033871734316493,,-0.007606774346863299,0.05,0.07606774346863299,True,True
double_continue_pde02_s17,4000,2,2,v0,0.014806297704956386,0.015888553176024313,0.0010822554710679267,0.07309426655021554,0.07309426655021554,0.0007403148852478193,1.4618853310043107,False,True
double_continue_pde02_s17,4000,3,1,kappa,0.33124504983912395,0.3700586841440161,0.03881363430489215,0.11717498668657178,0.11717498668657178,0.016562252491956198,2.3434997337314356,False,True
double_continue_pde02_s17,4000,3,1,theta,0.04721768860646289,0.04840778120593284,0.0011900925994699496,0.0252043807012412,0.0252043807012412,0.0023608844303231445,0.5040876140248239,True,True
double_continue_pde02_s17,4000,3,1,sigma,0.09961979094491745,0.11244752575089491,0.012827734805977459,0.12876693159364558,0.12876693159364558,0.004980989547245873,2.5753386318729117,False,True
double_continue_pde02_s17,4000,3,1,rho,-0.0657839115595773,-0.04939089320493095,0.01639301835464635,,0.0327860367092927,0.05,0.327860367092927,True,True
double_continue_pde02_s17,4000,3,1,v0,0.03544834961452888,0.03694627241193136,0.0014979227974024761,0.04225648905213168,0.04225648905213168,0.0017724174807264442,0.8451297810426337,True,True
double_continue_pde02_s17,4000,3,2,kappa,8.00549473509912,7.984606847047143,-0.020887888051976944,-0.0026091939028323303,-0.0026091939028323303,0.400274736754956,0.0521838780566466,True,True
double_continue_pde02_s17,4000,3,2,theta,0.039856320121106514,0.03824957943317152,-0.001606740687934996,-0.040313322530850564,-0.040313322530850564,0.0019928160060553256,0.8062664506170114,True,True
double_continue_pde02_s17,4000,3,2,sigma,0.36346010156817254,0.3453421538661597,-0.01811794770201286,-0.04984851878883482,-0.04984851878883482,0.01817300507840863,0.9969703757766962,True,True
double_continue_pde02_s17,4000,3,2,rho,0.2812903334114032,0.30033055362056116,0.019040220209157965,,0.03808044041831593,0.05,0.3808044041831593,True,True
double_continue_pde02_s17,4000,3,2,v0,0.08637275943563226,0.08478093445889019,-0.0015918249767420678,-0.01842971079242115,-0.01842971079242115,0.004318637971781613,0.36859421584842306,True,True
double_continue_pde002_s17,4000,0,1,kappa,1.649794501992554,1.7743883782099208,0.12459387621736684,0.075520845818608,0.075520845818608,0.08248972509962771,1.51041691637216,False,True
double_continue_pde002_s17,4000,0,1,theta,0.03939342666365212,0.03795625884663459,-0.001437167817017533,-0.036482427113749716,-0.036482427113749716,0.001969671333182606,0.7296485422749942,True,True
double_continue_pde002_s17,4000,0,1,sigma,0.20588552972798105,0.27803897892519885,0.0721534491972178,0.35045420284052015,0.35045420284052015,0.010294276486399053,7.009084056810402,False,True
double_continue_pde002_s17,4000,0,1,rho,-0.2464467135076679,-0.20102582856978002,0.04542088493788787,,0.09084176987577575,0.05,0.9084176987577575,True,True
double_continue_pde002_s17,4000,0,1,v0,0.01845715886952104,0.015410984441680611,-0.0030461744278404285,-0.16504026699746754,-0.16504026699746754,0.0009228579434760521,3.3008053399493504,False,True
double_continue_pde002_s17,4000,0,2,kappa,6.9659396312606585,7.529266664088157,0.5633270328274982,0.08086877903728693,0.08086877903728693,0.34829698156303296,1.6173755807457384,False,True
double_continue_pde002_s17,4000,0,2,theta,0.04993438431331109,0.05121200604661152,0.001277621733300427,0.02558601154034554,0.02558601154034554,0.0024967192156655545,0.5117202308069109,True,True
double_continue_pde002_s17,4000,0,2,sigma,0.577942892411992,0.5555051012716044,-0.022437791140387686,-0.03882354370125672,-0.03882354370125672,0.028897144620599603,0.7764708740251345,True,True
double_continue_pde002_s17,4000,0,2,rho,-0.00752456823647496,-0.010390206196482787,-0.0028656379600078274,,-0.005731275920015655,0.05,0.05731275920015655,True,True
double_continue_pde002_s17,4000,0,2,v0,0.033357296262996744,0.036395255815768315,0.0030379595527715714,0.09107331507984298,0.09107331507984298,0.0016678648131498372,1.8214663015968597,False,True
double_continue_pde002_s17,4000,1,1,kappa,1.6508894740031523,1.265867319881835,-0.38502215412131724,-0.2332210364075421,-0.2332210364075421,0.08254447370015762,4.6644207281508425,False,True
double_continue_pde002_s17,4000,1,1,theta,0.047802917465337075,0.03750400603792098,-0.010298911427416096,-0.21544524839690085,-0.21544524839690085,0.002390145873266854,4.308904967938017,False,True
