case,family,long_SSE,medium_SSE,short_SSE,very_long_SSE,share_short_le30d,share_long_gt90d,long_RMSE,medium_RMSE,short_RMSE,very_long_RMSE
SLOW_SHOCK_random_04,SLOW_SHOCK,5.875207648811883e-05,4.6203066249047146e-05,1.0737103656307591e-05,6.359873976117062e-05,0.059886466612696844,0.682414765367836,0.0004381783312319,0.0004657422076494,0.0001790280863174,0.0006468483296621
SLOW_SHOCK_random_05,SLOW_SHOCK,0.00011050874710616202,0.00011791702716331904,2.998706362925783e-05,0.00014803831555290688,0.07377777962887562,0.6361085716289582,0.0006009489965258,0.0007440437261979,0.0002991882731223,0.000986882103664
SLOW_SHOCK_random_06,SLOW_SHOCK,0.00010398541585152787,0.00011688849284603259,3.0429183323847516e-05,0.00014738661733377048,0.07632297149846734,0.6304954135682492,0.0005829422101974,0.0007407916487669,0.0003013857711576,0.0009847074683623
SLOW_SHOCK_random_07,SLOW_SHOCK,0.0001033711171515226,8.150640824992464e-05,1.9094226518267475e-05,0.00010293683319660919,0.06221470315348272,0.6722130313491796,0.0005812177804733,0.0006185945309018,0.0002387418922169,0.0008229313506438
SMIRK_WEIGHTS_random_00,SMIRK_WEIGHTS,0.00011079069795137675,8.862122957045075e-05,2.499594327884517e-05,0.0001318520127603058,0.0701621047786785,0.681083450335073,0.0006017151356051,0.0006450287673115,0.0002731570172195,0.0009313685910371
SMIRK_WEIGHTS_random_01,SMIRK_WEIGHTS,2.053989341604523e-06,3.683678554222765e-07,5.320182958801398e-07,2.7225813060002763e-06,0.09371540329187471,0.8413963355374245,8.1929136876302e-05,4.158637458685589e-05,3.9851152004178235e-05,0.0001338346708384
SMIRK_WEIGHTS_random_02,SMIRK_WEIGHTS,2.528854572805818e-06,3.921878859732579e-07,3.852095998958092e-07,4.2595310835054235e-06,0.05091470276860188,0.897248246313727,9.090781391104052e-05,4.290987859019906e-05,3.3909871758443106e-05,0.0001674014062442
SMIRK_WEIGHTS_random_03,SMIRK_WEIGHTS,3.0242904302882074e-06,6.233645270902996e-07,3.941515947642992e-07,4.222702298270097e-06,0.04769207727868873,0.8768812351379158,9.941479799187536e-05,5.40980038809023e-05,3.430119421637605e-05,0.0001666761415825
SMIRK_WEIGHTS_random_04,SMIRK_WEIGHTS,0.0001745848464546578,0.00018984357748111323,4.858276455289735e-05,0.000214990914183732,0.07736083103250488,0.6203414908653792,0.0007553401312681,0.0009440785991218,0.0003808190879799,0.0011892913474433
SMIRK_WEIGHTS_random_05,SMIRK_WEIGHTS,2.836036610899081e-05,2.3676774132178555e-05,5.5807124361164564e-06,4.2387175750725604e-05,0.055804318281192526,0.7074398454938093,0.0003044354364996,0.0003334045050698,0.0001290691407459,0.0005280748037542
SMIRK_WEIGHTS_random_06,SMIRK_WEIGHTS,2.936812119365342e-05,1.7172649253386687e-05,1.2255274722474216e-05,3.979311395769638e-05,0.12430651433654177,0.7015095347563546,0.0003097971146845,0.0002839414841967,0.0001912665930562,0.0005116608274563
SMIRK_WEIGHTS_random_07,SMIRK_WEIGHTS,4.678724489514419e-06,3.0761254698238505e-06,4.829783386473888e-07,1.3212788160652205e-05,0.022515825574462696,0.834079182976672,0.0001236525345965,0.0001201744715578,3.797007221512828e-05,0.0002948325590891
