symbol,trade_date,kappa,theta,sigma,rho,v0,objective,optimizer_evaluations,starting_value_loss_spread,calibration_rows,holdout_rows,calibration_iv_rmse,holdout_iv_rmse,feller_gap
ADANIPOWER,2026-05-06,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.2039599792279641,2.0061298073782917e-05,27,1.540353254459771e-10,12,6,0.024999116804997924,0.005742768890713415,1.9667532890009163
ADANIPOWER,2026-05-07,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.18340679157657402,2.0061298073782917e-05,27,1.540353254459771e-10,12,7,0.007954492138711597,0.012776919484135472,1.9667532890009163
CESC,2024-12-05,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.028450841842065522,3.7951600924179215e-05,124,6.835927123297579e-11,7,4,0.0052951908715493405,0.008351670074264657,0.10226950502283039
CESC,2024-12-09,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.09639176448362033,3.7951600924179215e-05,124,6.835927123297579e-11,6,3,0.003782130738727467,0.005137049433513019,0.10226950502283039
CESC,2024-12-18,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.06941587288532343,3.7951600924179215e-05,124,6.835927123297579e-11,7,4,0.023140462920098314,0.03626837305095566,0.10226950502283039
CESC,2025-01-15,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.050169160080863105,3.7951600924179215e-05,124,6.835927123297579e-11,6,3,0.03236284027230602,0.03235230442363114,0.10226950502283039
CESC,2025-04-28,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.005678754612378821,3.7951600924179215e-05,124,6.835927123297579e-11,7,4,0.006594895012011224,0.02017175874362823,0.10226950502283039
CESC,2025-01-10,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.0629743275144645,3.7951600924179215e-05,124,6.835927123297579e-11,6,3,0.0044970952155720615,0.014696022879775473,0.10226950502283039
CESC,2025-01-14,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.0478104645663724,3.7951600924179215e-05,124,6.835927123297579e-11,9,5,0.04744904302592839,0.05383617173733425,0.10226950502283039
CESC,2025-01-31,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.005333673379814146,3.7951600924179215e-05,124,6.835927123297579e-11,6,3,0.006998828156217224,0.005568956577635707,0.10226950502283039
CESC,2025-04-03,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.05152474767493408,3.7951600924179215e-05,124,6.835927123297579e-11,6,3,0.022357722637603147,0.011756555420850079,0.10226950502283039
CESC,2025-05-02,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.015471476294381187,3.7951600924179215e-05,124,6.835927123297579e-11,7,3,0.015482427821485754,0.014553250691416638,0.10226950502283039
CESC,2025-05-06,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.046216705360965185,3.7951600924179215e-05,124,6.835927123297579e-11,7,3,0.01038030896504275,0.0049363486807879765,0.10226950502283039
CESC,2025-05-19,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.09137115849557291,3.7951600924179215e-05,124,6.835927123297579e-11,7,4,0.0060727987387797135,0.004412431176279654,0.10226950502283039
JSWENERGY,2024-12-30,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.005333673379814146,2.7516032065943307e-05,32,1.6700428393705627e-11,8,4,0.00717750631428112,0.006567643687728355,0.0906261582436052
JSWENERGY,2025-01-03,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.01729877255219439,2.7516032065943307e-05,32,1.6700428393705627e-11,11,5,0.012109656329043123,0.01610398689739332,0.0906261582436052
JSWENERGY,2025-01-10,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.06695758068830591,2.7516032065943307e-05,32,1.6700428393705627e-11,10,5,0.028691323948874935,0.01867624474503346,0.0906261582436052
JSWENERGY,2025-01-31,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.1268263510141651,2.7516032065943307e-05,32,1.6700428393705627e-11,9,5,0.010968691242795781,0.01058816182826835,0.0906261582436052
JSWENERGY,2025-02-21,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.12501682582214171,2.7516032065943307e-05,32,1.6700428393705627e-11,7,4,0.006214723143208594,0.00559286226706137,0.0906261582436052
JSWENERGY,2025-03-17,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.1775113774306449,2.7516032065943307e-05,32,1.6700428393705627e-11,11,6,0.05600435529998282,0.04616945132785155,0.0906261582436052
JSWENERGY,2025-03-24,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.08062027034695878,2.7516032065943307e-05,32,1.6700428393705627e-11,6,3,0.009456625282823478,0.01435040806358626,0.0906261582436052
JSWENERGY,2025-04-08,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.19930200486131833,2.7516032065943307e-05,32,1.6700428393705627e-11,11,5,0.010247049766166853,0.006380246634242022,0.0906261582436052
JSWENERGY,2025-05-05,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.1402094356485198,2.7516032065943307e-05,32,1.6700428393705627e-11,10,5,0.006462137924820979,0.0066607392715246645,0.0906261582436052
JSWENERGY,2025-05-16,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.11560619500727921,2.7516032065943307e-05,32,1.6700428393705627e-11,11,6,0.019075394809270684,0.019557837244805046,0.0906261582436052
JSWENERGY,2025-05-30,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.04325811456833795,2.7516032065943307e-05,32,1.6700428393705627e-11,9,5,0.01337192146873612,0.009554800541433997,0.0906261582436052
JSWENERGY,2025-06-06,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.02324832897881615,2.7516032065943307e-05,32,1.6700428393705627e-11,11,5,0.018132700672587813,0.016281390140487687,0.0906261582436052
NHPC,2025-01-03,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.06936997391226186,1.1146423126707452e-05,44,2.4346003198408186e-11,9,5,0.004092346977171332,0.004411692913331856,0.04316414314955441
NHPC,2025-01-31,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.24183821439489706,1.1146423126707452e-05,44,2.4346003198408186e-11,8,4,0.010978677677809101,0.011566648931606574,0.04316414314955441
