dimension,group,model,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse
symbol,ADANIENSOL,heston_train_half_a,269,0.030861236714581138,0.015379125051012119,-0.003847975152013489,0.8372738481282296,0.6323088166798871,0.020621044791638485,0.01237939238878283
symbol,ADANIENSOL,heston_train_half_b,269,0.03235076708360277,0.01407767606997879,-0.005935012213507453,0.8211866791860347,0.5977795729597537,0.02133313335754836,0.01080236682887507
symbol,ADANIGREEN,heston_same_day_v0,632,0.023111745060985973,0.010596521990332146,-0.0033030947065912078,0.8651951720540295,0.7044092299567699,0.019216043166716837,0.011795408575621863
symbol,ADANIGREEN,flat_anchor_iv,632,0.03965605707859366,0.018341928717345458,-0.011504631374937868,0.6031201664660443,-0.004529674307053755,0.033524627773636156,0.027629465558014814
symbol,ADANIGREEN,quadratic_anchor_smile,632,0.008728443017067333,0.004517161424593056,-2.2299203248682188e-05,0.9807729112092192,0.9492262230749838,0.007943526602174063,0.004865733415011101
symbol,ADANIGREEN,heston_training_median_v0,632,0.07376516969304524,0.06469233101997339,0.04491524791003812,-0.373228036216964,0.6844465730553766,0.07147739847391037,0.07606616321951822
symbol,ADANIGREEN,heston_prior_available_v0,607,0.04214092914825519,0.027633539984080645,-0.006546088851845134,0.5625059187079855,0.679132781816767,0.035866419642410045,0.025271552950037378
symbol,ADANIGREEN,heston_shuffled_v0,632,0.08973907297063158,0.0772953978470361,-0.015495031297830569,-1.0323716469301663,0.06324632761718707,0.08070212517468714,0.06713012272537561
symbol,ADANIGREEN,heston_train_half_a,632,0.02422443716677281,0.010987720847297048,-0.0029794181125827423,0.8519026250439441,0.7067515137824047,0.020195011364810354,0.010866804921136492
symbol,ADANIGREEN,heston_train_half_b,632,0.023367103597696715,0.010753131727862885,-0.003521334919059661,0.8621998349077147,0.6900974295856946,0.01937268869992147,0.012198575775116486
symbol,ADANIPOWER,heston_same_day_v0,153,0.031017935067470172,0.022657332437576436,0.012284174156822567,0.79515687508558,0.43710339016303734,0.028894370349482435,0.02492817047786109
symbol,ADANIPOWER,flat_anchor_iv,153,0.029239701873757122,0.020392622033558263,-0.00797678460987934,0.8179706124036945,-0.045227742156421114,0.027560786901890406,0.026942736587904723
symbol,ADANIPOWER,quadratic_anchor_smile,153,0.008955254502044735,0.005489589485009107,-0.00019593511209131738,0.982925362475595,0.8924959187737821,0.007689643708748251,0.006056827126198922
symbol,ADANIPOWER,heston_training_median_v0,153,0.19116142258245472,0.17740266609395094,0.1770631238122432,-6.780296269903253,0.43424585251011516,0.17974601688502312,0.20600985949670703
symbol,ADANIPOWER,heston_prior_available_v0,140,0.055824943249264604,0.03954604400090093,0.023137837642149207,0.08191232712677132,0.5072719662936527,0.05015113052239192,0.031202050968998182
symbol,ADANIPOWER,heston_shuffled_v0,153,0.1356033237886923,0.09952867965114312,-0.011010680321996539,-2.9150408406428028,-1.1575225206997937,0.103002835111859,0.07920760917410812
symbol,ADANIPOWER,heston_train_half_a,153,0.021880844411912254,0.012961407524409788,-0.0015245021458128519,0.8980648929207544,0.5773622251347974,0.01882425479394975,0.012239992611779934
symbol,ADANIPOWER,heston_train_half_b,153,0.13365883701682543,0.12064167504853077,0.11252208518060579,-2.8035662343615466,0.40227690026229534,0.12495389579841214,0.15090565270687006
symbol,CESC,heston_same_day_v0,127,0.041880398141670314,0.03248602904772428,0.027397969353216214,-0.6000883060351332,0.7989137448554416,0.027540525777597875,0.01719635121291599
symbol,CESC,flat_anchor_iv,127,0.029425646092699743,0.020353797440177856,-0.00824052748618097,0.21009591005034123,-0.014340273548882676,0.028695117063303837,0.024038112344625343
symbol,CESC,quadratic_anchor_smile,127,0.009110194184293745,0.005985471742727906,9.566595596058914e-05,0.9242857515197749,0.8953631144325459,0.00867232600285462,0.008076628090536317
symbol,CESC,heston_training_median_v0,127,0.07799689236049379,0.07094741858479157,0.06981235626774786,-4.549795067804195,0.7736369367098355,0.06118825764080826,0.05914104189853258
symbol,CESC,heston_prior_available_v0,112,0.04827349999187299,0.039088469622325435,0.02302296295467179,-0.9967714404643682,0.7382841022301597,0.037326756322843754,0.030068171622144216
symbol,CESC,heston_shuffled_v0,127,0.05546314825434088,0.04684206765972346,0.02768416586470079,-1.8062824704807858,0.7474380499811883,0.04435584992798258,0.046839856550018766
symbol,CESC,heston_train_half_a,127,0.0417191607384815,0.03212557532289218,0.027368683529471787,-0.5877915054929781,0.7983897600971401,0.027050978458476753,0.017121826647680596
symbol,CESC,heston_train_half_b,127,0.04831011237950893,0.03871078475670426,0.03365601302572817,-1.129111684473247,0.7597136567322109,0.03248596589832489,0.023270979238628108
symbol,JSWENERGY,heston_same_day_v0,298,0.03689564713786591,0.02560764178590777,0.018733964740034477,0.12965180383049557,0.5491825073946828,0.03057907681168396,0.016686350921505853
symbol,JSWENERGY,flat_anchor_iv,298,0.02120009110296611,0.011460141717988275,-0.005584161038909234,0.7126453536923454,-0.01212873585179941,0.016914350960859203,0.012494389812607715
symbol,JSWENERGY,quadratic_anchor_smile,298,0.006226385255376497,0.0033957592755205187,0.0004007072245526763,0.9752135261890962,0.912504588474745,0.005529803688324419,0.003905083793728977
symbol,JSWENERGY,heston_training_median_v0,298,0.08818060285451883,0.07630775167704887,0.07059083648820294,-3.9715166298753184,0.5233584480277685,0.07809099250758951,0.07084484146588176
symbol,JSWENERGY,heston_prior_available_v0,286,0.05824713995194754,0.042186610740365095,0.01812791938833685,-1.2331014494818793,-0.09808171417908707,0.05138297508701847,0.03272574616704024
symbol,JSWENERGY,heston_shuffled_v0,298,0.07597305834133636,0.06372136156974106,0.015241784354901101,-2.6903026780076127,-0.7993854324995924,0.07400975750505301,0.068673287152931
symbol,JSWENERGY,heston_train_half_a,298,0.03537279738636801,0.023549752947352474,0.01710708451373939,0.2000154819608443,0.6118667382577572,0.02929051666078157,0.014788734766291771
symbol,JSWENERGY,heston_train_half_b,298,0.04542268524594005,0.03244227982961425,0.025182113588596195,-0.319132373830765,0.49091114053248985,0.03708023825045986,0.0220147106832509
symbol,NHPC,heston_same_day_v0,375,0.030617368309290734,0.016694474472563958,-0.00562453539144479,0.5864652919291271,0.5636365147105069,0.022508819249984,0.016903718427772017
symbol,NHPC,flat_anchor_iv,375,0.04052688910492024,0.022463060598699968,-0.011478445054151952,0.2754593025080243,-0.01221875315998755,0.03254413832350933,0.026359337142740975
symbol,NHPC,quadratic_anchor_smile,375,0.01281109859341783,0.006043158512222701,0.00012551209463960555,0.9275982612906151,0.8882230496535588,0.008746558413373016,0.0058678849556835794
symbol,NHPC,heston_training_median_v0,375,0.043980552596864585,0.03257045282499005,0.006806989800950774,0.14670812102438058,0.5766325352643441,0.03929790514954638,0.029506361302200957
symbol,NHPC,heston_prior_available_v0,365,0.03677568902413334,0.024437588993726264,-0.006759261880763013,0.41555047515366417,0.5276168465662632,0.030561253409616466,0.023579253572625917
symbol,NHPC,heston_shuffled_v0,375,0.05711306376421132,0.040007634080366714,-0.005322867794893393,-0.4389548416829714,0.2290994532751336,0.04956244681116829,0.03308853834185409
symbol,NHPC,heston_train_half_a,375,0.03208880183864799,0.019274486903552056,-0.0009439712551374003,0.5457622213159505,0.6137311126107601,0.024576462425761125,0.01700673399010727
symbol,NHPC,heston_train_half_b,375,0.03273245142437806,0.018235579498359814,-0.006086313465627229,0.5273569100581369,0.5393013729540898,0.024033441868579034,0.0170718025744152
symbol,NTPC,heston_same_day_v0,840,0.02987207600586472,0.014586005188465976,-0.006777749564590685,0.5897109030997473,0.587698165302594,0.02110380498828048,0.012740292640171888
