spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,96.47058823529412,0.25,0.03,0.01,6.220047662001207,6.2225450196422285,0.002497357641021658
100.0,101.3235294117647,0.25,0.03,0.01,3.5992516768976444,3.600083392512177,0.0008317156145327687
100.0,106.17647058823529,0.25,0.03,0.01,1.8750658149776207,1.8826852709475543,0.007619455969933631
100.0,111.02941176470588,0.25,0.03,0.01,0.8790803176270252,0.8759533535834856,0.003126964043539626
100.0,115.88235294117646,0.25,0.03,0.01,0.3720808595692251,0.3763977108285371,0.004316851259312027
100.0,120.73529411764706,0.25,0.03,0.01,0.14296214104579086,0.14595032382365733,0.0029881827778664716
100.0,125.58823529411765,0.25,0.03,0.01,0.050198492332614864,0.04733289756758691,0.0028655947650279567
100.0,130.44117647058823,0.25,0.03,0.01,0.01622457173426628,0.014728218205211049,0.0014963535290552308
100.0,135.2941176470588,0.25,0.03,0.01,0.004861942851650813,0.005413961992571309,0.0005520191409204957
100.0,140.1470588235294,0.25,0.03,0.01,0.0013603032244615607,0.0024106211861782876,0.001050317961716727
100.0,145.0,0.25,0.03,0.01,0.000357696538780896,0.0011990206508414054,0.0008413241120605094
100.0,62.5,0.4,0.03,0.01,37.84650120135586,37.84703309609492,0.0005318947390549056
100.0,67.3529411764706,0.4,0.03,0.01,33.053255664480176,33.05023295444254,0.003022710037633658
100.0,72.20588235294117,0.4,0.03,0.01,28.270019687074736,28.264096180578395,0.005923506496340991
100.0,77.05882352941177,0.4,0.03,0.01,23.52781033214086,23.525489335079804,0.0023209970610551522
100.0,81.91176470588235,0.4,0.03,0.01,18.905421780309936,18.91082902839425,0.00540724808431392
100.0,86.76470588235294,0.4,0.03,0.01,14.545470954019706,14.55361159079709,0.008140636777383747
100.0,91.61764705882354,0.4,0.03,0.01,10.635081232913706,10.636400038200229,0.0013188052865231725
100.0,96.47058823529412,0.4,0.03,0.01,7.348334351253968,7.342390801427498,0.0059435498264699405
100.0,101.3235294117647,0.4,0.03,0.01,4.782842681875806,4.780104676060592,0.0027380058152139952
100.0,106.17647058823529,0.4,0.03,0.01,2.9299638890132442,2.936919414669464,0.00695552565621993
100.0,111.02941176470588,0.4,0.03,0.01,1.6911212468768433,1.695243589748679,0.004122342871835771
100.0,115.88235294117646,0.4,0.03,0.01,0.9218763459224597,0.9185305915710914,0.003345754351368302
100.0,120.73529411764706,0.4,0.03,0.01,0.47618995108956597,0.4813050261420168,0.005115075052450846
100.0,125.58823529411765,0.4,0.03,0.01,0.23395112739457247,0.23995193459220018,0.006000807197627717
100.0,130.44117647058823,0.4,0.03,0.01,0.10975269723823278,0.10690265424902634,0.002850042989206436
100.0,135.2941176470588,0.4,0.03,0.01,0.04935773911874142,0.04205470031138355,0.007303038807357866
100.0,140.1470588235294,0.4,0.03,0.01,0.02135968773084551,0.016143821911414318,0.005215865819431193
100.0,145.0,0.4,0.03,0.01,0.008926841645581662,0.00681612902780919,0.0021107126177724728
100.0,62.5,0.6,0.03,0.01,38.01982780492602,38.019451055105826,0.00037674982019098024
100.0,67.3529411764706,0.6,0.03,0.01,33.26710215592536,33.266179555807064,0.0009226001182938148
100.0,72.20588235294117,0.6,0.03,0.01,28.551199153914794,28.548007722083284,0.003191431831510272
100.0,77.05882352941177,0.6,0.03,0.01,23.929337658496948,23.930982718160777,0.0016450596638293291
100.0,81.91176470588235,0.6,0.03,0.01,19.498057399191524,19.504743491411933,0.006686092220409279
100.0,86.76470588235294,0.6,0.03,0.01,15.384456211073797,15.387725807296396,0.003269596222599702
100.0,91.61764705882354,0.6,0.03,0.01,11.719366934954962,11.71218854513476,0.007178389820202469
100.0,96.47058823529412,0.6,0.03,0.01,8.603711152874368,8.589771161597657,0.013939991276711083
100.0,101.3235294117647,0.6,0.03,0.01,6.083859799042827,6.074078786557644,0.009781012485182927
100.0,106.17647058823529,0.6,0.03,0.01,4.14557448288285,4.1462915241458,0.0007170412629502465
100.0,111.02941176470588,0.6,0.03,0.01,2.7254957018514077,2.732068128202273,0.006572426350865523
100.0,115.88235294117646,0.6,0.03,0.01,1.7319717100522958,1.733181729593446,0.0012100195411501868
100.0,120.73529411764706,0.6,0.03,0.01,1.0660914994544637,1.064238864081597,0.0018526353728667289
100.0,125.58823529411765,0.6,0.03,0.01,0.6370942807879594,0.6421291483002102,0.005034867512250796
100.0,130.44117647058823,0.6,0.03,0.01,0.37049897379762164,0.37766205522208995,0.007163081424468309
100.0,135.2941176470588,0.6,0.03,0.01,0.21015936441981875,0.209505752927501,0.0006536114923177405
100.0,140.1470588235294,0.6,0.03,0.01,0.11653492332031812,0.10610319810597998,0.010431725214338133
100.0,145.0,0.6,0.03,0.01,0.06330314010971705,0.04907832261145619,0.014224817498260857
100.0,62.5,0.85,0.03,0.01,38.24552796606191,38.25551778617382,0.00998982011191174
100.0,67.3529411764706,0.85,0.03,0.01,33.56189227086301,33.571690385650754,0.009798114787741952
100.0,72.20588235294117,0.85,0.03,0.01,28.954718920017044,28.956710302883007,0.0019913828659632316
100.0,77.05882352941177,0.85,0.03,0.01,24.494077879493645,24.494009070233606,6.880926003915988e-05
100.0,81.91176470588235,0.85,0.03,0.01,20.271512478685835,20.271739675880795,0.00022719719495967183
100.0,86.76470588235294,0.85,0.03,0.01,16.385585285080225,16.38323246327746,0.002352821802766414
100.0,91.61764705882354,0.85,0.03,0.01,12.922819607105112,12.915803398911503,0.007016208193608264
100.0,96.47058823529412,0.85,0.03,0.01,9.941223573816018,9.932525894468386,0.008697679347632103
100.0,101.3235294117647,0.85,0.03,0.01,7.461711266242219,7.4570050701613,0.004706196080918268
100.0,106.17647058823529,0.85,0.03,0.01,5.468748668624137,5.470991565477594,0.0022428968534571325
100.0,111.02941176470588,0.85,0.03,0.01,3.9180649807199224,3.9255854968312587,0.007520516111336306
100.0,115.88235294117646,0.85,0.03,0.01,2.7476984504072526,2.7554321547334437,0.007733704326191138
