symbol,origin_date,target_date,target_split,candidate,calendar_gap_days,origin_v0_slow,origin_v0_fast,forecast_v0_slow,forecast_v0_fast,state_fit_information_cutoff,origin_clean_quotes,optimizer_evaluations
TORNTPOWER,2026-01-30,2026-02-02,validation,full_start_1,3,0.005470966144511637,0.04629186995050272,0.015220756187735052,0.05893907820125871,2026-01-30,12,11
TORNTPOWER,2026-01-30,2026-02-02,validation,full_start_2,3,0.029114118500360563,0.003244547818237539,0.03151123927664473,0.028351134001894263,2026-01-30,12,12
TORNTPOWER,2026-01-30,2026-02-02,validation,full_start_3,3,0.0055192576813071405,0.04631125411904331,0.015256152683387592,0.05895374593305733,2026-01-30,12,19
TORNTPOWER,2026-01-30,2026-02-02,validation,training_half_a,3,0.03717962805175529,0.0041433877202447815,0.04073978180659113,0.023664018679271204,2026-01-30,12,11
TORNTPOWER,2026-01-30,2026-02-02,validation,training_half_b,3,0.00652140537019019,0.0007267611954641667,0.0076461102952268545,0.03539008645991115,2026-01-30,12,6
TORNTPOWER,2026-02-05,2026-02-06,validation,full_start_1,1,0.03938696588956468,0.05496118524942954,0.042231542304206976,0.05906129141484065,2026-02-05,20,7
TORNTPOWER,2026-02-05,2026-02-06,validation,full_start_2,1,0.02855844217859943,0.05598354169302419,0.02937414247858189,0.06316091852342737,2026-02-05,20,8
TORNTPOWER,2026-02-05,2026-02-06,validation,full_start_3,1,0.03942320467196962,0.05496340248869348,0.04226450523342867,0.05906220347916272,2026-02-05,20,12
TORNTPOWER,2026-02-05,2026-02-06,validation,training_half_a,1,0.022098424232538934,0.06562427154394167,0.023501873971273554,0.0713565394906141,2026-02-05,20,7
TORNTPOWER,2026-02-05,2026-02-06,validation,training_half_b,1,0.0365705431591554,0.018779610109992902,0.036793818360147036,0.030165360913077532,2026-02-05,20,14
TORNTPOWER,2026-02-09,2026-02-10,validation,full_start_1,1,0.07663168630624828,0.037192944205570524,0.07898348678268413,0.04176229841743245,2026-02-09,14,10
TORNTPOWER,2026-02-09,2026-02-10,validation,full_start_2,1,0.011357820084603794,0.10191648832859498,0.012384031013137065,0.10785616250191063,2026-02-09,14,7
TORNTPOWER,2026-02-09,2026-02-10,validation,full_start_3,1,0.0766506619845257,0.03718671635504851,0.07900053473759039,0.0417555861739583,2026-02-09,14,13
TORNTPOWER,2026-02-09,2026-02-10,validation,training_half_a,1,0.011172788803331049,0.10025615753643716,0.012721702138438942,0.10549989864659304,2026-02-09,14,7
TORNTPOWER,2026-02-09,2026-02-10,validation,training_half_b,1,0.00958595427020932,0.0860171044461756,0.009947118571409452,0.09559933017927635,2026-02-09,14,8
TORNTPOWER,2026-02-10,2026-02-11,validation,full_start_1,1,0.07366796612877696,0.07502011510602691,0.07605897887408464,0.07859047757728907,2026-02-10,24,14
TORNTPOWER,2026-02-10,2026-02-11,validation,full_start_2,1,0.014898281183990437,0.1336859087999138,0.015881162011593702,0.1387695286807963,2026-02-10,24,16
TORNTPOWER,2026-02-10,2026-02-11,validation,full_start_3,1,0.07369425991544405,0.07501427320544073,0.07608315919071634,0.0785828691151556,2026-02-10,24,7
TORNTPOWER,2026-02-10,2026-02-11,validation,training_half_a,1,0.016557112378566247,0.12735122249867764,0.01803433898420509,0.13221275322693055,2026-02-10,24,17
TORNTPOWER,2026-02-10,2026-02-11,validation,training_half_b,1,0.013249937155942833,0.11889491605337174,0.013592378796391205,0.12759525351765466,2026-02-10,24,7
TORNTPOWER,2026-02-11,2026-02-12,validation,full_start_1,1,0.06196978691507567,0.021549327322548193,0.06451557545606243,0.026531819595947193,2026-02-11,25,6
TORNTPOWER,2026-02-11,2026-02-12,validation,full_start_2,1,0.008089855181850365,0.07259224262045877,0.00915606125369886,0.07932208375427896,2026-02-11,25,7
TORNTPOWER,2026-02-11,2026-02-12,validation,full_start_3,1,0.06199149453163685,0.021538076924229772,0.06453487828583643,0.02652074364255219,2026-02-11,25,13
TORNTPOWER,2026-02-11,2026-02-12,validation,training_half_a,1,0.008190466671688273,0.07349505404476254,0.009779086558019054,0.0791162945851635,2026-02-11,25,12
TORNTPOWER,2026-02-11,2026-02-12,validation,training_half_b,1,0.00653962874247539,0.058681682879349356,0.006916359524517232,0.06899713221902676,2026-02-11,25,7
ADANIENSOL,2026-05-05,2026-05-06,test,training_half_a,1,0.09233838084598152,0.15414689584151495,0.0957235478652263,0.1555611249969049,2026-05-05,16,12
ADANIENSOL,2026-05-06,2026-05-07,test,training_half_a,1,0.08444850146321384,0.12948557351042406,0.08793580032578219,0.13156084564419998,2026-05-06,15,6
ADANIENSOL,2026-05-07,2026-05-08,test,training_half_a,1,0.12089640794163473,0.14842333721564302,0.12391190087494436,0.1499909854857997,2026-05-07,14,6
ADANIENSOL,2026-05-08,2026-05-11,test,training_half_a,3,0.12225251505469799,0.13843322005301667,0.13113041121711624,0.14379323890502543,2026-05-08,12,6
ADANIENSOL,2026-05-22,2026-05-25,test,training_half_a,3,0.0826376224227835,0.06702039032184626,0.09303409489146758,0.07797048419456984,2026-05-22,10,8
ADANIENSOL,2026-05-29,2026-06-01,test,training_half_a,3,0.04612328046696544,0.08180089179023968,0.05791947437496303,0.09159399311186092,2026-05-29,17,7
ADANIENSOL,2026-06-02,2026-06-03,test,training_half_a,1,0.08673758667015755,0.07613807054207483,0.09019525409219709,0.07964331434477431,2026-06-02,13,7
ADANIENSOL,2026-06-04,2026-06-05,test,training_half_a,1,0.06828129807983874,0.10787915748800952,0.07197787596973138,0.11053358630316489,2026-06-04,14,6
ADANIENSOL,2026-06-16,2026-06-17,test,training_half_a,1,0.11985200203473236,0.054350674539929186,0.1228810144523427,0.05843992616472246,2026-06-16,11,7
ADANIENSOL,2026-06-17,2026-06-18,test,training_half_a,1,0.08856997254800017,0.07548122401799773,0.09200392034920585,0.07900407449145028,2026-06-17,12,6
ADANIENSOL,2026-06-29,2026-06-30,test,training_half_a,1,0.03619020456825357,0.1382158959016603,0.04030219090428361,0.1400571530771833,2026-06-29,9,7
ADANIENSOL,2026-07-06,2026-07-07,test,training_half_a,1,0.04520343015094939,0.07783547275863055,0.0491987433037287,0.08129521795417158,2026-07-06,17,7
