S,tau_days,C_BS,C_SH,C_DH,C_PINN,SH_minus_DH,BS_minus_DH,PINN_minus_DH,advantage
115.21739130434783,7.487686885170823,15.21739146357806,15.217391618984143,15.217407327994556,15.217406803087943,-1.5709010412479074e-05,-1.5864416495148248e-05,-5.249066123980128e-07,1.5184103800081061e-05
116.08695652173913,7.487686885170823,16.0869565589232,16.086956608072185,16.08696347052691,16.086963215559717,-6.862454725364842e-06,-6.911603708914527e-06,-2.549671940244025e-07,6.607487531340439e-06
116.95652173913044,7.487686885170823,16.95652174734883,16.95652176198007,16.95652471541974,16.956524592130034,-2.9534396688291054e-06,-2.9680709090484925e-06,-1.2328970555586238e-07,2.830149963273243e-06
117.82608695652173,7.487686885170823,17.826086958242634,17.826086962363487,17.8260882168333,17.82608815761489,-1.2544698115846131e-06,-1.2585906645767864e-06,-5.921840795508615e-08,1.195251403629527e-06
118.69565217391303,7.487686885170823,18.695652174254782,18.695652175356873,18.695652702001325,18.695652673892972,-5.266444524920644e-07,-5.277465433550788e-07,-2.8108352978506446e-08,4.985360995135579e-07
119.56521739130434,7.487686885170823,19.565217391368776,19.565217391648666,19.56521761044484,19.565217597343725,-2.187961740673927e-07,-2.1907606395643597e-07,-1.3101114859637164e-08,2.0569505920775555e-07
120.43478260869566,7.487686885170823,20.434782608707202,20.434782608773748,20.43478269882396,20.434782692864747,-9.005021084362852e-08,-9.011675672354613e-08,-5.9592117906959174e-09,8.40909990529326e-08
121.30434782608695,7.487686885170823,21.304347826088907,21.304347826102443,21.30434786285154,21.30434786022204,-3.674909621054212e-08,-3.676263204965835e-08,-2.629498396800045e-09,3.4119597813742075e-08
122.17391304347825,7.487686885170823,22.173913043478567,22.17391304347938,22.17391305836167,22.173913057244526,-1.4882289178785868e-08,-1.4883102750218313e-08,-1.11714371087146e-09,1.3765145467914408e-08
123.04347826086956,7.487686885170823,23.043478260869605,23.04347826086745,23.04347826685236,23.04347826640167,-5.98491212144836e-09,-5.982755624245328e-09,-4.5069015186527395e-10,5.534221969583086e-09
123.91304347826087,7.487686885170823,23.913043478260875,23.913043478257947,23.913043480649538,23.913043480482784,-2.3915909252991696e-09,-2.388663489227838e-09,-1.667537219418591e-10,2.2248372033573105e-09
124.78260869565217,7.487686885170823,24.782608695652165,24.78260869564902,24.782608696599187,24.782608696548913,-9.501661679678364e-10,-9.47022016362098e-10,-5.027445126870589e-11,8.998917166991305e-10
125.65217391304347,7.487686885170823,25.652173913043466,25.652173913040187,25.652173913415712,25.65217391341116,-3.7552538856289175e-10,-3.722462338373589e-10,-4.551026222543442e-12,3.709743623403483e-10
126.52173913043478,7.487686885170823,26.521739130434785,26.521739130431403,26.52173913057913,26.521739130591385,-1.4772894019188243e-10,-1.4434675676966435e-10,1.2253309478182928e-11,1.354756307136995e-10
127.3913043478261,7.487686885170823,27.391304347826086,27.391304347822608,27.391304347880453,27.3913043478981,-5.7845284118229756e-11,-5.4367177426684066e-11,1.7646328842602088e-11,4.019895527562767e-11
128.26086956521738,7.487686885170823,28.260869565217384,28.260869565213795,28.260869565236394,28.26086956525503,-2.2598811710849986e-11,-1.901057089526148e-11,1.8637535958987428e-11,3.9612757518625585e-12
129.1304347826087,7.487686885170823,29.130434782608692,29.130434782605022,29.130434782613793,29.13043478263193,-8.771650072958437e-12,-5.101696842757519e-12,1.8136603330276557e-11,-9.36495325731812e-12
130.0,7.487686885170823,29.999999999999993,29.999999999996227,29.999999999999662,30.000000000016858,-3.4354741274000844e-12,3.304023721284466e-13,1.7195134205394424e-11,-1.375966007799434e-11
