t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
122.80160320641284,607.1983967935871,105.0,14.133070902090834,14.220104547004913,14.194682127093502,
123.21804511278195,606.781954887218,105.0,,,,14.191309824602062
124.26352705410822,605.7364729458918,105.0,14.117766945235275,14.205199329675844,14.179475755706642,
125.03007518796993,604.9699248120301,105.0,,,,14.172448239011274
125.72545090180361,604.2745490981964,105.0,14.102442263623793,14.190276641529774,14.164253895162492,
126.84210526315789,603.1578947368421,105.0,,,,14.153562727332794
127.187374749499,602.812625250501,105.0,14.087096775110172,14.175336429200556,14.149016503121606,
128.6492985971944,601.3507014028056,105.0,14.071730397001637,14.160378639061529,14.133763537029418,
128.65413533834587,601.3458646616541,105.0,,,,14.134653209314756
130.1112224448898,599.8887775551102,105.0,14.056343046053753,14.145403217223471,14.118494954114569,
130.46616541353384,599.5338345864661,105.0,,,,14.11571960421153
131.57314629258516,598.4268537074148,105.0,14.040934638465298,14.130410109532889,14.103210711387149,
132.2781954887218,597.7218045112782,105.0,,,,14.09676183077868
133.03507014028057,596.9649298597194,105.0,14.025505089872995,14.11539926157006,14.087910765636888,
134.09022556390977,595.9097744360902,105.0,,,,14.077779807268113
134.49699398797597,595.503006012024,105.0,14.010054315346212,14.100370618647046,14.072595073431406,
135.90225563909775,594.0977443609022,105.0,,,,14.058773451422983
135.95891783567134,594.0410821643286,105.0,13.994582229381653,14.085324125805883,14.057263591114497,
137.42084168336675,592.5791583166333,105.0,13.97908874589791,14.070259727816484,14.041916274804167,
137.71428571428572,592.2857142857142,105.0,,,,14.03974268047262
138.88276553106212,591.1172344689379,105.0,13.963573778229948,14.055177369174775,14.026553080390915,
139.52631578947367,590.4736842105264,105.0,,,,14.02068741112733
140.34468937875752,589.6553106212425,105.0,13.948037239123607,14.040076994100653,14.011173963535825,
141.33834586466165,588.6616541353384,105.0,,,,14.00160755957318
141.80661322645292,588.1933867735471,105.0,13.93247904072993,14.024958546535931,13.995778879668643,
143.15037593984962,586.8496240601504,105.0,,,,13.982503041466636
143.2685370741483,586.7314629258517,105.0,13.916899094599497,14.009821970142369,13.98036778398602,
144.7304609218437,585.2695390781563,105.0,13.90129731167665,13.994667208299578,13.964940631449407,
144.9624060150376,585.0375939849624,105.0,,,,13.963373771929206
146.19238476953907,583.8076152304609,105.0,13.885673602293691,13.979494204102926,13.949497376783285,
146.77443609022555,583.2255639097745,105.0,,,,13.94421966554195
147.65430861723448,582.3456913827655,105.0,13.87002787616493,13.964302900361442,13.934037974473092,
148.58646616541353,581.4135338345865,105.0,,,,13.925040636339931
149.11623246492988,580.8837675350701,105.0,13.854360042380746,13.949093239595715,13.918562378763259,
150.3984962406015,579.6015037593985,105.0,,,,13.90583659780659
150.57815631262525,579.4218436873748,105.0,13.83867000940148,13.933865164035735,13.903070543655268,
152.04008016032066,577.9599198396793,105.0,13.82295768505139,13.918618615618673,13.887562422905551,
152.21052631578948,577.7894736842105,105.0,,,,13.886607462868083
153.50200400801603,576.497995991984,105.0,13.80722297651238,13.90335353598678,13.872037970023467,
154.02255639097743,575.9774436090225,105.0,,,,13.867353143887394
154.96392785571143,575.0360721442886,105.0,13.791465790317716,13.888069866485091,13.85649713826919,
155.8345864661654,574.1654135338346,105.0,,,,13.848073552658551
