case,model,bucket,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes
SMIRK_WEIGHTS_random_00,BS_SELECTED,wing,0.0015550268303966802,0.0011599891189821281,0.00273912735417533,0.003017246159504161,0.0015550268303966802,3.6749024230850442,599,659
SMIRK_WEIGHTS_random_00,BS_SELECTED,K/F_0.70_0.90,0.001660633078780992,0.0012369790691040413,0.0028624947746427763,0.003017246159504161,0.001660633078780992,4.288760667508779,298,329
SMIRK_WEIGHTS_random_00,BS_SELECTED,K/F_0.90_0.98,0.0013684985645470449,0.0012072071262895882,0.002318994592163253,0.002588119064999894,0.0013684985645470449,1.625050452745461,132,132
SMIRK_WEIGHTS_random_00,BS_SELECTED,K/F_0.98_1.02,0.0004194804627657706,0.0003471096339994063,0.0008356175536963495,0.0009056779642344637,0.0004194804627657706,0.332980344919791,66,66
SMIRK_WEIGHTS_random_00,BS_SELECTED,K/F_1.02_1.10,0.0008968604878452274,0.0007657664059284711,0.0016371915973518304,0.0018644684198087513,0.0008968604878452274,1.1801726035609836,132,132
SMIRK_WEIGHTS_random_00,BS_SELECTED,K/F_1.10_1.30,0.0014339886831408314,0.0010828326538213759,0.002485088829377505,0.002629640265366162,0.0014339886831408314,2.900452959361324,318,347
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,short,0.0,0.0,0.0,0.0,0.0,0.0,278,335
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,medium,0.0,0.0,0.0,0.0,0.0,0.0,213,213
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,long,0.0,0.0,0.0,0.0,0.0,0.0,306,306
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,very_long,0.0,0.0,0.0,0.0,0.0,0.0,152,152
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,ATM,0.0,0.0,0.0,0.0,0.0,0.0,49,49
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,wing,0.0,0.0,0.0,0.0,0.0,0.0,602,659
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,K/F_0.70_0.90,0.0,0.0,0.0,0.0,0.0,0.0,297,329
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,K/F_0.90_0.98,0.0,0.0,0.0,0.0,0.0,0.0,132,132
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,K/F_0.98_1.02,0.0,0.0,0.0,0.0,0.0,0.0,66,66
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,K/F_1.02_1.10,0.0,0.0,0.0,0.0,0.0,0.0,132,132
SMIRK_WEIGHTS_random_01,DH_EXACT_TEACHER,K/F_1.10_1.30,0.0,0.0,0.0,0.0,0.0,0.0,322,347
SMIRK_WEIGHTS_random_01,DH_PINN,short,2.5022997261058607e-06,1.1743864880308443e-06,6.985064253233614e-06,9.662954732952977e-06,2.5022997261058607e-06,0.10102126772120537,278,335
SMIRK_WEIGHTS_random_01,DH_PINN,medium,3.6525074360795153e-06,2.8774195089281234e-06,6.746123848433078e-06,8.11739807791978e-06,3.6525074360795153e-06,0.058152891191750634,213,213
SMIRK_WEIGHTS_random_01,DH_PINN,long,1.001871045709217e-05,8.085358910318085e-06,2.0294088401622955e-05,2.1395829467895852e-05,1.001871045709217e-05,0.01844100968959164,306,306
SMIRK_WEIGHTS_random_01,DH_PINN,very_long,1.3305134570833362e-05,1.1172447944336244e-05,2.5455500283488863e-05,2.868843365244622e-05,1.3305134570833362e-05,0.003185004115464673,152,152
SMIRK_WEIGHTS_random_01,DH_PINN,ATM,6.736107696995561e-06,4.723321158179897e-06,1.5858558276565787e-05,1.85435831176195e-05,6.736107696995561e-06,0.002783009700414749,49,49
SMIRK_WEIGHTS_random_01,DH_PINN,wing,7.2919256656943085e-06,4.518116386566868e-06,1.829205957168574e-05,2.5694876555237833e-05,7.2919256656943085e-06,0.07705142100983997,602,659
SMIRK_WEIGHTS_random_01,DH_PINN,K/F_0.70_0.90,5.399407322809247e-06,3.7309788043684404e-06,1.0467461331309374e-05,2.012506553875082e-05,5.399407322809247e-06,0.09354864713687885,297,329
SMIRK_WEIGHTS_random_01,DH_PINN,K/F_0.90_0.98,8.320563982209312e-06,6.256404802561096e-06,1.589035751772479e-05,2.622146305761297e-05,8.320563982209312e-06,0.02422843303372121,132,132
SMIRK_WEIGHTS_random_01,DH_PINN,K/F_0.98_1.02,6.9698121186716945e-06,4.782537110834289e-06,1.603800163689495e-05,2.068479141517643e-05,6.9698121186716945e-06,0.0037857208811970223,66,66
SMIRK_WEIGHTS_random_01,DH_PINN,K/F_1.02_1.10,1.0092838685044376e-05,7.203536984892316e-06,2.245635986817814e-05,2.868843365244622e-05,1.0092838685044376e-05,0.00761200653436015,132,132
SMIRK_WEIGHTS_random_01,DH_PINN,K/F_1.10_1.30,8.850231191708522e-06,5.356743374905865e-06,2.0421454578156346e-05,2.5694876555237833e-05,8.850231191708522e-06,0.05510462458039972,322,347
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,short,3.9851152004178235e-05,2.0579428309517875e-05,9.953360111313314e-05,0.0001272970481953628,3.9851152004178235e-05,0.6860118645936302,278,335
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,medium,4.158637458685589e-05,2.992244864009031e-05,8.360261708344474e-05,0.00011882943189367445,4.158637458685589e-05,0.28966140794184647,213,213
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,long,8.1929136876302e-05,6.908946717512774e-05,0.00015074119987679158,0.00016743340393576833,8.1929136876302e-05,0.09383073644888108,306,306
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,very_long,0.0001338346708384772,0.00010892486909551213,0.00024969620507584307,0.00031192697636853173,0.0001338346708384772,0.03262518238467615,152,152
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,ATM,4.73769471972441e-05,3.301008039532077e-05,9.491633444563819e-05,0.0001601382861511902,4.73769471972441e-05,0.03532530895051454,49,49
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,wing,7.969124226215823e-05,5.0526177480731416e-05,0.00016719295992456695,0.00031192697636853173,7.969124226215823e-05,0.4807365366126725,602,659
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,K/F_0.70_0.90,8.147977474574282e-05,5.216313334197276e-05,0.00016441076302300394,0.0002513461940284456,8.147977474574282e-05,0.5675337493865111,297,329
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,K/F_0.90_0.98,8.441075803458078e-05,6.93975566911251e-05,0.00015327317402104017,0.00023366877131403285,8.441075803458078e-05,0.2897752370659628,132,132
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,K/F_0.98_1.02,4.974875835094886e-05,3.4984370827487934e-05,9.770186325795682e-05,0.0001720582996507236,4.974875835094886e-05,0.04148038912785809,66,66
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,K/F_1.02_1.10,5.236200994050668e-05,4.3624482841237724e-05,9.752864719548005e-05,0.00010621257043585963,5.236200994050668e-05,0.09539208030179362,132,132
SMIRK_WEIGHTS_random_01,SH_BEST_FOUND,K/F_1.10_1.30,7.64288833351229e-05,4.776944824132428e-05,0.00016405014994907136,0.00031192697636853173,7.64288833351229e-05,0.36753665376765915,322,347
SMIRK_WEIGHTS_random_01,BS_FLAT,short,0.0012734338939634877,0.0006457597036786578,0.0032604741720163566,0.003908619585853201,0.0012734338939634877,3.898353139989357,277,335
SMIRK_WEIGHTS_random_01,BS_FLAT,medium,0.0017772747144700301,0.001237677032026761,0.0035891911856474664,0.003907548815371198,0.0017772747144700301,2.2395904616857876,213,213
SMIRK_WEIGHTS_random_01,BS_FLAT,long,0.0011666630635726357,0.0009460939451213442,0.002330079614587262,0.0028855777351788348,0.0011666630635726357,0.822156410105449,306,306
SMIRK_WEIGHTS_random_01,BS_FLAT,very_long,0.0014097902650675618,0.0012754294226461796,0.002122829598780318,0.002202281087904656,0.0014097902650675618,0.37877070136754165,152,152
SMIRK_WEIGHTS_random_01,BS_FLAT,ATM,0.0027331063649014167,0.0024426258710187627,0.00387287105539299,0.003908619585853201,0.0027331063649014167,2.7518960031801134,49,49
SMIRK_WEIGHTS_random_01,BS_FLAT,wing,0.0008419001995722353,0.0005467613859310624,0.0018471840097167476,0.002489988519343067,0.0008419001995722353,2.202115301882287,601,659
SMIRK_WEIGHTS_random_01,BS_FLAT,K/F_0.70_0.90,0.0007640087697758755,0.00045388516318623455,0.0018058939370259014,0.002202281087904656,0.0007640087697758755,1.3235054562765551,296,329
SMIRK_WEIGHTS_random_01,BS_FLAT,K/F_0.90_0.98,0.0015372718762513384,0.0012889659788069673,0.002770064687548267,0.003235673581703402,0.0015372718762513384,2.45423546977205,132,132
SMIRK_WEIGHTS_random_01,BS_FLAT,K/F_0.98_1.02,0.002665709701034914,0.0023854821597722345,0.003830695339688786,0.003908619585853201,0.002665709701034914,2.7657855074446402,66,66
SMIRK_WEIGHTS_random_01,BS_FLAT,K/F_1.02_1.10,0.0022119292093235885,0.0019246048140450114,0.0035895218659364125,0.0038641018102247293,0.0022119292093235885,2.92669679206776,132,132
SMIRK_WEIGHTS_random_01,BS_FLAT,K/F_1.10_1.30,0.0009540496065579995,0.0006696349916821362,0.001959093514951819,0.002636887820421485,0.0009540496065579995,2.818266537672947,322,347
SMIRK_WEIGHTS_random_01,BS_TERM,short,5.5336853943824595e-05,2.6922729142336994e-05,0.00014477730493823727,0.0002578043499746885,5.5336853943824595e-05,1.1838239653008844,271,335
SMIRK_WEIGHTS_random_01,BS_TERM,medium,0.00027141424738380966,0.00020315046209168691,0.0005575867679367795,0.0006981192219289722,0.00027141424738380966,1.3175872352701585,213,213
SMIRK_WEIGHTS_random_01,BS_TERM,long,0.0006513672204416929,0.0005907680291479897,0.0010397649819276489,0.0010789805451145718,0.0006513672204416929,0.7282016122775767,306,306
