split,index,check,x,K/F,tau_days,v_slow,v_fast,teacher,reference,abs_diff,reference_error,seconds
train,51474,accepted_vs_adaptive_1e-10,-0.2207726358800969,1.247039866207442,362.74287110596015,0.001684131646985743,0.0015768921382772387,0.017191692526986796,0.017191692527017327,3.0531133177191805e-14,,0.032755874999566004
train,40442,accepted_vs_adaptive_1e-10,-0.10803451771292943,1.1140862004304188,221.56498793705225,0.00025826936990705224,0.03126316915429308,0.03191859903612093,0.03191859903614219,2.1260770921571748e-14,,0.03352995800378267
train,57708,accepted_vs_adaptive_1e-10,-0.34056957680791583,1.4057480440657513,134.47081615502168,0.0019739889931923564,0.004960149452804456,0.0007578652409401046,0.0007578652409813008,4.1196213107497215e-14,,0.019694583999807946
train,3744,accepted_vs_adaptive_1e-10,-0.11028626572817857,1.1165976683563408,139.68445708564985,0.1773885004403947,0.00859338794353835,0.07353960125645859,0.0735396012564869,2.8310687127941492e-14,,0.026975082997523714
train,49170,accepted_vs_adaptive_1e-10,-0.25851384560983054,1.2950040798499634,190.52121945704218,0.0067109203868330174,0.10696540254576486,0.006710489834945849,0.006710489834979225,3.337607967779377e-14,,0.038110541994683444
train,2220,accepted_vs_adaptive_1e-10,-0.2812677305211738,1.3248082480613195,234.29261327478747,0.14041774333899462,0.043931814264548924,0.04230267932466944,0.04230267932470866,3.9218628344883655e-14,,0.0450050419967738
train,98498,accepted_vs_adaptive_1e-10,-0.2138000288152354,1.2383749907173616,90.92352617912506,0.0003883610876320195,0.0024935121435956027,0.001124291808852311,0.0011242918088806009,2.828987044622977e-14,,0.027805333003925625
train,79505,accepted_vs_adaptive_1e-10,-0.28109340765565133,1.324577323819522,204.8325931601658,0.05329169989984552,0.0023763906905215184,0.014123351408589682,0.014123351408626653,3.697042672001771e-14,,0.03917262500181096
train,41188,accepted_vs_adaptive_1e-10,-0.1447477903453371,1.1557480426918076,310.4092405723358,0.0006661062048219578,0.036310399987946426,0.027209177582871225,0.027209177582895372,2.4147350785597155e-14,,0.017150832994957455
train,21700,accepted_vs_adaptive_1e-10,-0.3295261982035896,1.390309241369035,136.0098838874591,0.0002891721210777108,0.11855674132506996,0.0005750158561134457,0.0005750158561546419,4.1196213107497215e-14,,0.03048395799851278
train,59707,accepted_vs_adaptive_1e-10,-0.1286580213668107,1.137301124970574,163.20050606452574,0.0026914304672065147,0.0019435650455257008,0.030962186661923463,0.030962186661946667,2.3203661214665772e-14,,0.03516525000304682
train,56106,accepted_vs_adaptive_1e-10,-0.25565951013792215,1.2913129741016394,162.29927640867265,0.000312555514769886,0.03920024640064998,0.005732226855253472,0.005732226855286224,3.275157922644212e-14,,0.0349437080003554
train,43295,accepted_vs_adaptive_1e-10,-0.2832413257452655,1.327425465106539,115.59364917237312,0.0004597811789416608,0.0025250625152533255,0.00020269829078658434,0.00020269829082310807,3.6523735424953685e-14,,0.024981208000099286
