S,tau_days,C_BS,C_SH,C_DH
272.2847065644009,84.45920022854165,6.338469361567331,5.52538383817426,5.701473809495545
272.7717990627272,84.45920022854165,6.5222575456644565,5.724654026369276,5.898468573065765
273.2588915610535,84.45920022854165,6.709537785717863,5.928711898877037,6.099773609269283
273.7459840593798,84.45920022854165,6.90032315813275,6.137550304467327,6.305388211508704
274.2330765577061,84.45920022854165,7.094625525106993,6.351157534980163,6.515309051904393
274.7201690560324,84.45920022854165,7.292455528701181,6.569517464226137,6.729530229726691
275.2072615543587,84.45920022854165,7.4938225862197,6.792609702389867,6.948043324357504
275.69435405268496,84.45920022854165,7.698734886899443,7.020409764079248,7.1708374524555705
276.1814465510113,84.45920022854165,7.907199389899859,7.2528892481264595,7.397899328995813
276.6685390493376,84.45920022854165,8.119221823586903,7.490016027238405,7.629213331849865
277.1556315476639,84.45920022854165,8.334806686100766,7.731754445615664,7.864761569574983
277.6427240459902,84.45920022854165,8.553957247194395,7.978065522704354,8.104523952078699
278.1298165443165,84.45920022854165,8.776675551329786,8.2289071613131,8.348478263831595
278.61690904264276,84.45920022854165,9.002962422014152,8.484234358412987,8.596600239302806
279.1040015409691,84.45920022854165,9.232817467359139,8.74399941704139,8.84886364030149
279.5910940392954,84.45920022854165,9.4662390868418,9.008152157842126,9.105240334912994
280.07818653762166,84.45920022854165,9.703224479246478,9.276640128899027,9.365700377729215
280.565279035948,84.45920022854165,9.943769651762892,9.54940881264615,9.630212091080807
281.05237153427424,84.45920022854165,10.187869430215759,9.826401828769475,9.898742146990346
281.53946403260056,84.45920022854165,10.43551747039917,10.10756113214746,10.171255649578255
282.0265565309269,84.45920022854165,10.686706270486335,10.392827205004833,10.447716217662931
282.5136490292532,84.45920022854165,10.941427184486473,10.682139242583247,10.728086067312885
283.00074152757946,84.45920022854165,11.199670436716422,10.975435331750468,11.012326094118638
283.4878340259058,84.45920022854165,11.461425137255077,11.27265262208578,11.300395954968007
283.97492652423205,84.45920022854165,11.726679298347468,11.573727489085064,11.592254149120913
284.46201902255837,84.45920022854165,11.995419851723156,11.87859568922994,11.88785809839453
284.9491115208847,84.45920022854165,12.267632666794446,12.187192506753908,12.187164226283066
