i,n_expiries,vol_now,bs_s,bs_reprice,sh_s,sh_reprice,dh_s,dh_reprice,dh_param
3305,7,0.3741186114929168,0.010204375001194421,0.004089495511963978,0.5700145829978283,0.0014995762604418986,2.7808910829990054,0.001986974676705618,0.7890982884463409
3406,5,0.21050781521356884,0.010235249996185303,0.0004422069462639048,0.3920983330026502,0.0004453336767813058,0.6967565419981838,0.0004361727583601969,14.549684749354851
2304,1,0.1797906907857078,0.010034083999926224,0.00024778659860436633,0.21998162499949103,0.0004894506037075383,0.6331116250003106,0.0004885510154390902,0.4337259252545035
2717,2,0.20756508900400986,0.009858040997642092,0.001057048051688982,1.7639766669963137,0.00042669988040606115,1.6853690830030246,0.0004266969911831797,0.3742538474996382
1378,1,0.4641276271697999,0.009914333000779152,0.003795588802591118,0.3044980830018176,0.00428262443283323,2.3524235830045654,0.004288065476902408,0.4205631600719336
1204,8,0.15053136923921762,0.010257249996357132,0.0022771844751089828,0.5047547919966746,5.668391236636253e-05,2.6664802079976653,5.8864801466611974e-05,0.2851658836414096
1352,1,0.6464700850000229,0.01008074999845121,0.0021061764880144266,2.339345708001929,0.001623963094894468,5.92736133300059,0.0016247546346180673,0.25114901720747257
1355,1,0.5221425526762568,0.009624916994653177,0.0012415130724488168,0.6935848339999211,0.0007276976945583224,3.650651999996626,0.0007281967086980331,0.3617550738386326
578,6,0.6467358311672003,0.010147583998332266,0.004575023414943611,0.414367208002659,0.005258825616819961,9.968956417003938,0.005689115383709422,0.5040707204892558
3098,5,0.1508212111697877,0.010319875000277534,0.0005765670536881296,0.8010003329982283,0.0003907628826662985,1.8735727919993224,0.00050194125315182,0.21406073294901726
1806,4,0.8240424930776713,0.010148042005312163,0.012340544438395367,0.6196492090020911,0.0012050752621620385,3.7777762079931563,0.0012561206486946717,0.2776297172853967
521,2,0.37948527483861955,0.009801708001759835,0.0015505026510229116,3.054763707994425,0.002810066059308377,8.29212758399808,0.002859464283075058,6.0793424277447805
57,1,0.32625993772427025,0.009797458995308261,0.0004094350762172699,0.14450875000329688,5.274413594571755e-05,0.5040844999966794,4.343630645739002e-05,2.19762979315965
3962,3,0.7837337081876707,0.00985033399774693,0.012460142762634541,0.7146059580045403,0.0006699118994700097,4.050228790998517,0.0007405851317658708,0.4510147053636453
1870,1,0.2323780908079381,0.009877459000563249,0.0010361363955844042,2.6063454169998295,0.00014878389539117672,2.452501667001343,0.0001606798884990393,0.26694456548403517
2163,7,0.16600997483421293,0.010008583005401306,0.0018435390057220855,0.2627093330011121,0.0017121894752561272,3.7216249580014846,0.0016360876215264382,0.39810763470781596
275,1,0.39022295191188433,0.009776250000868458,4.302871017753277e-05,0.4976635410057497,0.000244949130274595,1.027962791005848,0.00024120276786258982,0.8777507135957366
1098,1,0.6870170376612524,0.009833542004344054,0.035909217816032214,0.3949957919976441,0.03941813814221753,0.9664769170049112,0.03904847035633509,0.6355932183858913
112,2,0.28197088958053673,0.009751042001880705,0.006012840006716846,0.8380470420015627,0.001276995537109294,4.604368083004374,0.0015246914123214033,8.178042770122802
2602,5,0.16949497263110846,0.009885750005196314,0.0026949790959406835,0.4689721249960712,0.0010189851709193631,2.894716958006029,0.00104094340393919,0.6342231153006557
2898,1,0.15748652015904196,0.009803875000216067,0.001133188032394863,0.36548483400110854,0.0018836277642827498,0.8779175000017858,0.0018842463706474895,0.5569986946627932
638,1,0.3448632920448969,0.009753708996868227,0.00016089000681124104,0.17452700000285404,4.2592762691309266e-05,0.7210032920047524,4.258923833244301e-05,0.26217479265292426
3905,5,0.3505585472708977,0.009971416999178473,0.002286065477629117,0.5586582499963697,0.001094507697714203,3.656897000000754,0.0012099632615952562,0.9402438757619859
501,2,0.3637941505788223,0.009801416999835055,0.0010353840919770545,0.5599472499961848,0.0006009437576533998,3.897409458993934,0.0006127412918090669,0.8290991178278232
2849,7,0.14609893343979596,0.010170499997911975,0.0008190222861309624,0.8449164580015349,0.0007131983166967674,12.69215187500231,0.0007590628158895815,0.4394224942626031
2782,1,0.26871114630478954,0.010142042003280949,0.00016148201920221478,0.1520655829954194,0.0001760487310174086,0.49291237499710405,0.00017604475957941186,0.16032810430183295
2241,2,0.43036928590256235,0.010017957996751647,0.00014977354974111037,1.321294166998996,0.0003741627397960204,2.4868784159989445,0.0004277753831767307,1.002024468725375
3715,3,0.6637907034874697,0.009884291997877881,0.0006598483811852838,0.42023145899293013,0.0004199223404909406,2.2293693329993403,0.0004696540644497751,1.748628689260253
1949,2,0.19883894083092263,0.009860416001174599,0.00018206084323186536,0.5905660419957712,0.0001268995085079675,2.8834600829941337,0.00021737996263517255,1.6044127453160633
3251,1,0.1739489009285709,0.009694291999039706,0.0012800023598290892,0.16289299999334617,0.0014289680892528545,1.1857781670041732,0.0014287342660129266,0.26697701540083474
2349,6,0.2174229203448458,0.010219625000900123,0.0023047055999493916,0.4193500419933116,0.003402919967916598,3.9578951250005048,0.0034029523724541213,0.3405917477749703
695,5,0.17877033032486336,0.010170790999836754,0.0006845209406659281,0.6780108750026557,0.0008620328059290038,2.502342583000427,0.0008581092433347903,2.583113604666479
3555,1,0.3508396365415626,0.00961379199725343,0.0013793778204383054,1.0571395840015612,0.0012958479058128695,1.3962100419958006,0.00129044489426128,0.5278782467847485
2434,1,0.24290719261751134,0.0098734169951058,0.000496566235036731,1.4456132080013049,0.0008685425337635908,1.6990011669986416,0.0008665158046218313,0.42702265404874146
2185,8,0.2038301819459757,0.010190833003434818,0.0020020673938670477,0.2888600000005681,0.00010825542029368435,2.296338874999492,6.887024679232118e-05,0.2610150384735446
1897,1,0.23311902142691007,0.009847166998952162,0.004461958354479938,0.8701613750017714,0.0047440023027073685,4.6905113750035525,0.004743305260931807,0.31107231261559515
