symbol,origin_date,target_date,target_split,calendar_gap_days,candidate,kappa,theta,sigma,rho,origin_v0,forecast_v0,origin_clean_quotes,optimizer_evaluations,state_information_cutoff
ADANIENSOL,2026-05-07,2026-05-08,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.28144355237116264,0.2847197863483117,14,4,2026-05-07
ADANIENSOL,2026-05-07,2026-05-08,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.2810465949788951,0.28413284721746457,14,4,2026-05-07
ADANIENSOL,2026-05-08,2026-05-11,test,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.2847666388441096,0.2899644969238463,12,5,2026-05-08
ADANIENSOL,2026-05-08,2026-05-11,test,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.27231780413568846,0.28260319453284866,12,4,2026-05-08
ADANIENSOL,2026-05-08,2026-05-11,test,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.27237595666847825,0.281960405829357,12,4,2026-05-08
ADANIENSOL,2026-05-22,2026-05-25,test,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.20425383918401024,0.2158024902694414,10,5,2026-05-22
ADANIENSOL,2026-05-22,2026-05-25,test,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.17416495255297626,0.19219258540830414,10,7,2026-05-22
ADANIENSOL,2026-05-22,2026-05-25,test,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.18351816533009502,0.19832380430745947,10,6,2026-05-22
ADANIENSOL,2026-05-29,2026-06-01,test,3,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.15933332234436082,0.17442527220168655,17,6,2026-05-29
ADANIENSOL,2026-05-29,2026-06-01,test,3,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.13347565413140922,0.15471283626373436,17,6,2026-05-29
ADANIENSOL,2026-05-29,2026-06-01,test,3,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.14924816441284586,0.16606747238991237,17,6,2026-05-29
ADANIENSOL,2026-06-02,2026-06-03,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.192781547047025,0.1970469373125981,13,5,2026-06-02
ADANIENSOL,2026-06-02,2026-06-03,test,1,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.17116040607796512,0.1774161007826285,13,5,2026-06-02
ADANIENSOL,2026-06-02,2026-06-03,test,1,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,0.18166796492407764,0.18674009768333222,13,5,2026-06-02
ADANIENSOL,2026-06-04,2026-06-05,test,1,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.20361353682222424,0.2075862855844749,14,6,2026-06-04
