generator_factors,case,model,model_factors,status,own_model,parameter_gate,neural_holdout_price_rmse,neural_fit_price_rmse,exact_holdout_price_rmse,exact_fit_price_rmse,seconds,optimizer_success,scaled_parameter_rmse,tolerance_scaled_rmse,worst_tolerance_error
1,8,single_sobolev_s17,1,fitted,True,False,7.191374133054563e-06,6.340557693558205e-06,1.1449204788597384e-05,1.0987568314967987e-05,0.12200295898946933,True,0.030605035142982802,0.5262069509363181,1.1046336769445568
1,8,double_sobolev_s17,2,fitted,False,,9.108769504365272e-06,8.991827052869857e-06,4.881388549543044e-05,4.829293954263451e-05,0.5512048749951646,True,,,
1,8,deep11_s17,2,fitted,False,,9.303822502000126e-06,9.52919567322433e-06,2.1945151106756703e-05,2.050549908912957e-05,1.1798234159941785,True,,,
1,8,deep17_full_s29,2,fitted,False,,8.600505038804411e-06,8.538637744953645e-06,0.00010494237516166867,0.00010455108615586872,1.7144517919950886,True,,,
1,8,deep11_balanced_s43,2,fitted,False,,9.590738119809873e-06,9.636513816045e-06,4.705728570248539e-05,4.695618965040482e-05,1.0637360840046313,True,,,
1,9,single_sobolev_s17,1,fitted,True,True,1.5106500357256073e-05,1.535900776983809e-05,1.5709263654792028e-05,1.5411251255340815e-05,0.07837070799723733,True,0.0038118182038090085,0.07067629575957236,0.14037846951327548
1,9,double_sobolev_s17,2,fitted,False,,2.5722880466917753e-05,2.6976321216735235e-05,0.00012694115322312407,0.00012596558323648693,0.4163629579998087,True,,,
1,9,deep11_s17,2,fitted,False,,2.4068647916766616e-05,2.447723984279062e-05,0.00010749419736878365,0.00010749856883246027,0.8661510829988401,True,,,
1,9,deep17_full_s29,2,fitted,False,,2.7172419777575442e-05,2.5436272596022075e-05,0.00010858637222263464,9.986592384777025e-05,0.6703504589968361,True,,,
1,9,deep11_balanced_s43,2,fitted,False,,2.56873863820583e-05,2.604032831829846e-05,0.00011941122927950761,0.00011800380049980384,0.5147107079974376,True,,,
1,10,single_sobolev_s17,1,fitted,True,True,1.3629591346893796e-05,1.4068326117024556e-05,1.0383266734564727e-05,9.436502940804027e-06,0.11625745800847653,True,0.02095751043237352,0.3529757947882928,0.7257514041817731
1,10,double_sobolev_s17,2,fitted,False,,4.495358877669897e-06,4.48497485069575e-06,1.897060109906408e-05,1.6738105465905196e-05,0.5428014579956653,True,,,
1,10,deep11_s17,2,fitted,False,,6.199425039928536e-06,5.713648475825421e-06,2.988618454900529e-05,2.8388834284328203e-05,1.2438242500065826,True,,,
1,10,deep17_full_s29,2,fitted,False,,3.918147324873894e-06,4.117040680338185e-06,5.5599028135313524e-05,5.605129834122339e-05,2.0296833330066875,True,,,
1,10,deep11_balanced_s43,2,fitted,False,,4.463380506851938e-06,4.429222479540201e-06,1.2940773032397829e-05,1.2282342698048511e-05,0.8672380420030095,True,,,
1,11,single_sobolev_s17,1,fitted,True,True,2.241175192804537e-05,2.137658720362692e-05,1.3858152259881078e-05,1.3383815251385004e-05,0.09289308400184382,True,0.0028131494959930115,0.053812408214964545,0.099167443169408
1,11,double_sobolev_s17,2,fitted,False,,0.00014929457029654223,0.00014609972090676005,0.00033964722214458777,0.0003339411348142867,0.6623674579896033,True,,,
1,11,deep11_s17,2,fitted,False,,0.0001478885215949267,0.00014420933683338875,0.0003121692228865744,0.00030538355040553885,0.9830296670115786,True,,,
1,11,deep17_full_s29,2,fitted,False,,0.00013747802119577171,0.00013391174558505375,0.000236266891659641,0.00023096840080322802,0.6377643339947099,True,,,
1,11,deep11_balanced_s43,2,fitted,False,,0.0001473978226144192,0.0001431363959780767,0.00029142096559903327,0.00028557255455029603,0.9249061250011437,True,,,
1,12,single_sobolev_s17,1,fitted,True,True,5.842016220099443e-06,6.153714318327626e-06,1.4170976525998893e-05,1.3578633709472731e-05,0.10621333299786784,True,0.011111045448179957,0.20040793020941514,0.3919958675272201
1,12,double_sobolev_s17,2,fitted,False,,1.0679263727229119e-05,1.0023618698497647e-05,6.32978050079172e-05,6.52319839991213e-05,0.8280251669930294,True,,,
1,12,deep11_s17,2,fitted,False,,1.1070144434411558e-05,9.535554995338797e-06,4.972047764411765e-05,5.1754111272982635e-05,3.7438130840018857,True,,,
1,12,deep17_full_s29,2,fitted,False,,8.290441321154529e-06,7.105739993671862e-06,0.00011252230673365595,0.0001128858130210157,3.1570547910087043,True,,,
1,12,deep11_balanced_s43,2,fitted,False,,1.3388277840837561e-05,1.1506582921141429e-05,9.368179324985503e-05,9.422635058759808e-05,0.8592398330074502,True,,,
1,13,single_sobolev_s17,1,fitted,True,True,1.2658123148799799e-05,1.2018505126813379e-05,1.388620982230364e-05,1.3846390119284707e-05,0.08043612500478048,True,0.00202869616566477,0.04034671656357589,0.08970408544264145
1,13,double_sobolev_s17,2,fitted,False,,2.559178880727782e-05,2.6812210051627608e-05,6.530759355825382e-05,7.005229138118456e-05,0.4854265000030864,True,,,
1,13,deep11_s17,2,fitted,False,,2.5083501919474882e-05,2.6342878644578772e-05,2.3860444044364496e-05,2.4093710088119514e-05,0.9338249580032425,True,,,
1,13,deep17_full_s29,2,fitted,False,,2.7295759687380703e-05,2.882768246258926e-05,0.0001304137649576632,0.00011936446638059162,8.510711583003285,True,,,
1,13,deep11_balanced_s43,2,fitted,False,,2.6787306686612906e-05,2.803389851601771e-05,4.398920490748669e-05,4.464793085852374e-05,1.1457835000037448,True,,,
1,14,single_sobolev_s17,1,fitted,True,True,5.3128158651384975e-05,5.2307366870151634e-05,8.880993683775984e-06,8.773948101193526e-06,0.09017870800744276,True,0.005117023183390086,0.09675432536105244,0.1627908973184156
1,14,double_sobolev_s17,2,fitted,False,,0.00027020188260490276,0.0002606245296269327,0.00016367799729781322,0.00015882087680336722,0.30618924999726005,True,,,
1,14,deep11_s17,2,fitted,False,,0.00022985697542698212,0.00022328154886221144,0.00016564628174395012,0.00016122326508682413,0.43182041599357035,True,,,
1,14,deep17_full_s29,2,fitted,False,,0.00020913271501091157,0.00020526763115191914,0.000147473253621696,0.0001441079496645961,0.5546232920023613,True,,,
1,14,deep11_balanced_s43,2,fitted,False,,0.00025227647098693013,0.00024523160365453846,0.0001619647163942426,0.00015707162069141862,0.4583780410030158,True,,,
1,15,single_sobolev_s17,1,fitted,True,True,1.6434746961047973e-05,1.6226898390073756e-05,5.885192912858841e-06,6.112909313437172e-06,0.09044850000645965,True,0.0010957021302368786,0.012319840269381948,0.02339682311123914
1,15,double_sobolev_s17,2,fitted,False,,1.9046844227173985e-05,1.7403449946461104e-05,9.610591194155617e-05,0.00010081845509516276,0.3762136669975007,True,,,
1,15,deep11_s17,2,fitted,False,,2.1695054783395005e-05,1.9387274253723717e-05,8.433059820229257e-05,8.719808418146695e-05,0.6649653749918798,True,,,
1,15,deep17_full_s29,2,fitted,False,,2.6742480047130003e-05,2.4310505353122842e-05,9.000533109947603e-05,8.750926877656591e-05,1.455675417004386,True,,,
1,15,deep11_balanced_s43,2,fitted,False,,2.4232515546473718e-05,2.1816893847478265e-05,9.163964838659192e-05,9.413569721897066e-05,3.1722882079920964,True,,,
