case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,119,True,1.08,2.0,0.17480692106701481,0.17480692106701481,0.36624453103570337,0.36624453103570337
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,120,False,1.1,2.0,0.16807327160905955,0.16807327160905955,0.366195607444794,0.366195607444794
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,121,False,1.12,2.0,0.16159420376572292,0.16159420376572292,0.3661480529706011,0.3661480529706011
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,122,True,1.1400000000000001,2.0,0.15536129331661816,0.15536129331661816,0.3661018116740866,0.3661018116740866
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,123,False,1.16,2.0,0.14936625349394483,0.14936625349394483,0.3660568307656398,0.3660568307656398
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,124,False,1.18,2.0,0.1436009492979821,0.1436009492979821,0.3660130603789563,0.3660130603789563
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,125,True,1.2,2.0,0.13805740950319784,0.13805740950319784,0.3659704533645938,0.3659704533645938
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,0,False,0.8,0.0821917808219178,0.20007794846903693,0.20007794846903693,0.2881400776774412,0.2881400776774412
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,1,False,0.8200000000000001,0.0821917808219178,0.18018819423208185,0.18018819423208185,0.28570403590143234,0.28570403590143234
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,2,True,0.8400000000000001,0.0821917808219178,0.16042359242225637,0.16042359242225637,0.28339682140505323,0.28339682140505323
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,3,False,0.86,0.0821917808219178,0.1408910161794104,0.1408910161794104,0.2812226083990944,0.2812226083990944
