case_id,arm,start_index,start_strategy,optimizer_success,nfev,price_rmse_normalized,parameter_rmse_full_range,constraint_valid,bound_hit,runtime_seconds
case_2,prior_ranges,10,broad_10,False,120,0.00021620041226120458,0.18493691720507946,True,True,2.490826042019762
case_2,prior_ranges,11,broad_11,True,55,0.000231199289258149,0.19463959905312347,True,False,0.8038068339810707
case_3,baseline,0,midpoint,True,7,4.856182765884604e-13,8.09034676202095e-10,True,False,0.1685094169806689
case_3,baseline,1,broad_1,False,120,4.802048691628863e-05,0.2913687066652974,True,True,2.343415624985937
case_3,baseline,2,broad_2,False,120,3.428215317336061e-07,0.08451415384299235,True,False,2.6582847080135252
case_3,baseline,3,broad_3,True,115,7.3476337754635565e-06,0.32330938325798697,True,True,2.290197124995757
case_3,baseline,4,broad_4,True,55,7.3476341995798184e-06,0.323309266384305,True,True,1.1345241670205723
case_3,baseline,5,broad_5,True,81,7.347632772079731e-06,0.3233094530331837,True,True,1.6542674590018578
case_3,baseline,6,broad_6,False,120,2.595766562194046e-07,0.0958293461056858,True,False,2.634472874982748
case_3,baseline,7,broad_7,True,66,7.347633286870008e-06,0.3233087620358307,True,True,1.3152414169744588
case_3,baseline,8,broad_8,False,120,3.6202303278052153e-07,0.08875182320252457,True,False,2.7279188340180553
case_3,baseline,9,broad_9,False,120,6.069216743614161e-06,0.18556015089157155,True,True,2.2739327919844072
case_3,baseline,10,broad_10,False,120,4.211694098324886e-06,0.22701606862724033,True,True,2.5372792499838397
case_3,baseline,11,broad_11,True,103,7.3476334013436185e-06,0.32330905565530843,True,True,2.000383458012948
case_3,sobol,0,sobol_0,False,120,2.9562121637142015e-07,0.11858434983471225,True,False,2.3916102499933913
case_3,sobol,1,sobol_1,True,62,7.408195624411371e-06,0.32695403146693286,True,True,1.2002468749997206
case_3,sobol,2,sobol_2,True,112,7.347633627685307e-06,0.32330908949160664,True,True,2.3725235419988167
case_3,sobol,3,sobol_3,False,120,9.592168088243535e-07,0.13133554686182278,True,False,2.120852082996862
case_3,sobol,4,sobol_4,True,60,7.3476342042417124e-06,0.3233095518157353,True,True,1.2316673330205958
case_3,sobol,5,sobol_5,False,120,1.60576410309227e-07,0.04195367898676111,True,False,2.3155390830070246
case_3,sobol,6,sobol_6,False,120,1.0227400281129486e-06,0.2006144514171478,True,False,2.498851583019132
