truth_id,representation,noise_level,near_equivalent_count,cluster_count,median_pairwise_distance,maximum_pairwise_distance,maximum_distance_from_best,materially_displaced_count,boundary_hit_rate,optimizer_success_rate,best_parameter_rmse_scaled,best_repricing_rmse,best_repricing_rmse_relative,pca1_fraction,basin_classification
interior_seed20260822_0013,R2,0.0,11,11,0.9480964369492725,1.3647105222989744,1.3647105222989744,10,0.36363636363636365,0.8333333333333334,0.20766885819639075,8.349167875642724e-09,5.188452446657544e-06,0.41990833972711483,multiple_basin
interior_seed20260822_0013,R2,0.005,11,10,1.2776986521642826,1.8360580023332032,1.7849439026076137,10,1.0,0.5,0.381935133276214,0.00022223454759037626,0.007876871393662619,0.48600011685906386,multiple_basin
interior_seed20260822_0013,R2,0.01,9,9,0.8765607074343248,1.4309437359714914,1.4309437359714914,8,0.3333333333333333,0.5833333333333334,0.47237713687242394,0.0004765917357472961,0.07816616219678776,0.5707841037955154,multiple_basin
interior_seed20260822_0013,R2,0.02,12,5,0.585246138069734,1.7060815147724666,1.7060815147724666,10,1.0,0.6666666666666666,0.503564569212401,0.0011259685237384807,0.05123142590078229,0.9165430438421437,multiple_basin
interior_seed20260822_0013,R3,0.0,6,6,0.4484868175435834,0.7068842686447064,0.7068842686447064,5,0.5,0.16666666666666666,0.18545637379537327,1.8106712833875414e-08,8.55355131668798e-06,0.49274903212359983,multiple_basin
interior_seed20260822_0013,R3,0.005,12,5,1.2313395084214922,1.7504888427250347,1.5228498758528417,5,1.0,0.6666666666666666,0.3855169968544801,0.0002760120425675584,0.011415307149497856,0.6639518851983941,multiple_basin
interior_seed20260822_0013,R3,0.01,12,10,0.8818944264510167,1.8423230748880424,1.3671448034587241,11,0.8333333333333334,0.6666666666666666,0.48055110213407154,0.000517492871600739,0.06498633261975842,0.8976571856331031,multiple_basin
interior_seed20260822_0013,R3,0.02,12,7,1.0603025234680628,1.6870661419218231,1.475797462695422,8,1.0,0.3333333333333333,0.4523616402290996,0.001338558898261234,0.03972038097238951,0.5025269152956834,multiple_basin
interior_seed20260822_0014,R2,0.0,9,9,0.8053531251742476,1.2726553992111194,1.0837609279506306,8,0.1111111111111111,0.6666666666666666,0.061859170248753995,1.3378463946957481e-09,2.434984461441787e-08,0.483445365535935,multiple_basin
interior_seed20260822_0014,R2,0.005,7,4,0.9169689843347298,2.081374329018355,2.081374329018355,6,1.0,0.4166666666666667,0.5721711616982889,0.0004423947327105236,0.009210505732829635,0.8243817149052806,multiple_basin
interior_seed20260822_0014,R2,0.01,10,4,0.9265288360835147,2.0530200079718566,2.052845455198839,6,1.0,0.08333333333333333,0.5466694841829512,0.0003768158733696992,0.01491000386043849,0.8799783319772574,multiple_basin
interior_seed20260822_0014,R2,0.02,12,3,0.07413287880353481,2.0872257452184777,2.0872257452184777,4,1.0,0.3333333333333333,0.5672209083394277,0.0013327625530075659,0.018855648854941023,0.8857503724321113,multiple_basin
interior_seed20260822_0014,R3,0.0,3,3,0.6074482734819702,0.6933959722701294,0.6933959722701294,2,0.0,0.08333333333333333,0.028518169423723393,1.9772939397771064e-08,5.575811411569308e-07,0.99018257215536,multiple_basin
interior_seed20260822_0014,R3,0.005,12,5,0.9110567058125548,1.8490462046616043,1.8490462046616043,6,0.8333333333333334,0.5,0.43493126317913333,0.00047185864774291467,0.007616313587731368,0.9167701823939023,multiple_basin
interior_seed20260822_0014,R3,0.01,12,8,1.1323215895878136,1.8773141141031309,1.2324663464202796,8,1.0,0.08333333333333333,0.331578834027097,0.000598550340098853,0.011217221439178197,0.7808165526613734,multiple_basin
interior_seed20260822_0014,R3,0.02,12,4,0.005639448856490099,0.6918728302464414,0.6678704892746679,3,1.0,0.3333333333333333,0.4631504560699694,0.0013969183842385353,0.019508336499717643,0.815189995217381,multiple_basin
interior_seed20260822_0015,R2,0.0,8,8,0.607270347767594,1.1104393501777285,0.9329489703933267,7,0.375,0.5,0.20963552045390504,2.4487975653733313e-09,1.1705780636399103e-07,0.5105365217167659,multiple_basin
interior_seed20260822_0015,R2,0.005,11,9,1.1462866513945043,1.7630303488731567,1.452834275754844,9,0.9090909090909091,0.08333333333333333,0.3514545298186264,0.00026440272842877114,0.005733005004180576,0.4729621455435429,multiple_basin
interior_seed20260822_0015,R2,0.01,12,12,1.0545655757791021,1.759630802887731,1.759630802887731,11,1.0,0.5833333333333334,0.4538302914520603,0.00043958770500700424,0.008504442888920568,0.6576407118411932,multiple_basin
interior_seed20260822_0015,R2,0.02,9,3,0.014287029319063255,1.5534630327234737,1.5534630327234737,2,1.0,0.25,0.5263687766367414,0.0012883145182169592,0.07081884805872461,0.8486851939786835,multiple_basin
interior_seed20260822_0015,R3,0.0,10,10,0.48339102888415025,1.0495300735797393,0.767839460195202,9,0.2,0.4166666666666667,0.12167734296151654,1.5680819818647247e-08,8.351000694233987e-07,0.5470993485444463,multiple_basin
interior_seed20260822_0015,R3,0.005,12,6,0.23081715938398983,1.5847510756208456,1.4882044882770902,10,0.9166666666666666,0.3333333333333333,0.31213479424612317,0.0003462869952677672,0.007228030455000484,0.6595828462926534,multiple_basin
interior_seed20260822_0015,R3,0.01,8,3,1.7314590790958322,1.7993034965118087,1.732171796096069,6,1.0,0.16666666666666666,0.3246757364996706,0.0006734455501305563,0.012720699980891611,0.8097966981559329,multiple_basin
