method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model2,11,R2_FINAL_interior_train_010082,0.07180937885557781,0.0013048311094028442,0.0013048311094028442
model2,11,R2_FINAL_interior_train_010083,0.1552891111226426,0.0009287660430610474,0.0009287660430610474
model2,11,R2_FINAL_interior_train_010084,0.11955060469549424,0.0004722745357572681,0.0004722745357572681
model2,11,R2_FINAL_interior_train_010086,0.13252777719898426,0.0009161525831301932,0.0009161525831301932
model2,11,R2_FINAL_interior_train_010088,0.15518581614077495,0.0006638241763087841,0.0006638241763087841
model2,11,R2_FINAL_interior_train_010089,0.12147774170453174,0.00046366625632695933,0.00046366625632695933
model2,11,R2_FINAL_interior_train_010090,0.12794460115501546,0.0007098484329278844,0.0007098484329278844
model2,11,R2_FINAL_interior_train_010091,0.15927752787031088,0.0009349562254786138,0.0009349562254786138
model2,11,R2_FINAL_interior_train_010092,0.13769495920618027,0.0010187157939636955,0.0010187157939636955
model2,11,R2_FINAL_interior_train_010093,0.12663474597481555,0.00018282884445578625,0.00018282884445578625
model2,11,R2_FINAL_interior_train_010094,0.12012806066327683,0.00014678476896188897,0.00014678476896188897
model2,11,R2_FINAL_interior_train_010098,0.10574939004875616,0.0002942426602315265,0.0002942426602315265
model2,11,R2_FINAL_interior_train_010100,0.1420684456979767,0.0005484739968071671,0.0005484739968071671
model2,11,R2_FINAL_interior_train_010101,0.161296992362809,0.0008822790779332391,0.0008822790779332391
model2,11,R2_FINAL_interior_train_010102,0.11119456303196758,0.0004707180496407047,0.0004707180496407047
model2,11,R2_FINAL_interior_train_010103,0.16393752264558162,0.0009812087040036457,0.0009812087040036457
model2,11,R2_FINAL_interior_train_010104,0.14923544391100316,0.001493964506907911,0.001493964506907911
model2,11,R2_FINAL_interior_train_010105,0.12970182563057248,0.0012140490779720843,0.0012140490779720843
model2,11,R2_FINAL_interior_train_010106,0.14461558880563613,0.0004095156917728936,0.0004095156917728936
model2,11,R2_FINAL_interior_train_010108,0.16069689933732761,0.00017050252155854099,0.00017050252155854099
model2,11,R2_FINAL_interior_train_010112,0.16099717325056556,0.0011820280447931476,0.0011820280447931476
model2,11,R2_FINAL_interior_train_010113,0.10432905447724564,0.00030151820822436816,0.00030151820822436816
model2,11,R2_FINAL_interior_train_010117,0.12604697354978733,0.0001775040974832154,0.0001775040974832154
model2,11,R2_FINAL_interior_train_010120,0.1812385736360943,0.0018232283449563728,0.0018232283449563728
model2,11,R2_FINAL_interior_train_010121,0.1642129616074517,0.0014798536720925764,0.0014798536720925764
model2,11,R2_FINAL_interior_train_010122,0.1173022750636487,0.0005509075061711184,0.0005509075061711184
model2,11,R2_FINAL_interior_train_010125,0.12034480152009407,0.0011564395823033984,0.0011564395823033984
model2,11,R2_FINAL_interior_train_010126,0.10806119069238755,0.00037527904441118687,0.00037527904441118687
model2,11,R2_FINAL_interior_train_010128,0.13765616711604164,0.0002999370297181788,0.0002999370297181788
model2,11,R2_FINAL_interior_train_010129,0.17746487770439107,0.0007900608145398691,0.0007900608145398691
model2,11,R2_FINAL_interior_train_010130,0.15051591216620192,0.0006270957739016794,0.0006270957739016794
model2,11,R2_FINAL_interior_train_010131,0.16223461939033076,0.0001645360351832534,0.0001645360351832534
model2,11,R2_FINAL_interior_train_010132,0.09911306328533417,0.0009486341956643061,0.0009486341956643061
model2,11,R2_FINAL_interior_train_010133,0.15411798719807843,0.0005688281724547298,0.0005688281724547298
model2,11,R2_FINAL_interior_train_010134,0.11103467983686402,0.0006395844221855838,0.0006395844221855838
model2,11,R2_FINAL_interior_train_010136,0.10659545747394202,0.000969270103932361,0.000969270103932361
model2,11,R2_FINAL_interior_train_010138,0.17450717043797387,0.0005970928290356743,0.0005970928290356743
model2,11,R2_FINAL_interior_train_010139,0.172082029393844,0.00035331789897666895,0.00035331789897666895
model2,11,R2_FINAL_interior_train_010140,0.1378274864549025,0.0005854706178478614,0.0005854706178478614
model2,11,R2_FINAL_interior_train_010141,0.13302141720384625,0.001001915310751514,0.001001915310751514
model2,11,R2_FINAL_interior_train_010142,0.07686076019093405,0.0003464389289322231,0.0003464389289322231
model2,11,R2_FINAL_interior_train_010143,0.11091410164812088,0.000272569066428754,0.000272569066428754
model2,11,R2_FINAL_interior_train_010144,0.13806682987820756,0.0011748212199791308,0.0011748212199791308
